ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,verb_category,split,count
egovid-26,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving rhythmically","playing drum set, using drumsticks, moving rhythmically",,,,use,playing,use,full,109
egovid-27,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffling cards, dealing cards, holding deck","shuffling cards, dealing cards, holding deck",,,,hold,shuffling,hold,full,107
egovid-28,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting wall, holding paintbrush, applying paint, moving brush back and forth","painting wall, holding paintbrush, applying paint, moving brush back and forth",,,,hold,painting,hold,full,106
egovid-29,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, manipulating needles, creating stitches","sitting, knitting, manipulating needles, creating stitches",,,,sit,knitting,sit,full,104
egovid-30,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sew fabric, guide fabric, adjust fabric, use sewing machine","sew fabric, guide fabric, adjust fabric, use sewing machine",,,,adjust,fabric,adjust,full,103
egovid-31,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, shuffling cards, handling cards","sitting, shuffling cards, handling cards",,,,sit,shuffling,sit,full,99
egovid-32,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"turn on faucet, wash hands, rub hands together","turn on faucet, wash hands, rub hands together",,,,turn,faucet,turn,full,97
egovid-33,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"dealing cards, holding cards","dealing cards, holding cards",,,,hold,dealing,hold,full,93
egovid-34,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sewing fabric, guiding fabric, adjusting fabric, using sewing machine","sewing fabric, guiding fabric, adjusting fabric, using sewing machine",,,,use,sewing,use,full,92
egovid-35,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold deck, shuffle cards, deal cards","hold deck, shuffle cards, deal cards",,,,hold,deck,hold,full,90
egovid-36,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming grapevine branches","holding pruning shears, trimming grapevine branches",,,,hold,pruning,hold,full,90
egovid-37,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding deck of cards, shuffling cards","sitting, holding deck of cards, shuffling cards",,,,sit,deck,sit,full,89
egovid-38,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding paintbrush, adding details, refining painting, focusing on details","holding paintbrush, adding details, refining painting, focusing on details",,,,hold,paintbrush,hold,full,87
egovid-39,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, hold leash, dog sniff ground","walk dog, hold leash, dog sniff ground",,,,hold,walk,hold,full,87
egovid-40,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, playing dominoes, placing tiles","sitting, playing dominoes, placing tiles",,,,sit,playing,sit,full,87
egovid-41,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, handling cards, shuffling cards, dealing cards","sitting, handling cards, shuffling cards, dealing cards",,,,sit,cards,sit,full,86
egovid-42,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving arms rhythmically","playing drum set, using drumsticks, moving arms rhythmically",,,,use,playing,use,full,86
egovid-43,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, shuffling cards, dealing cards","sitting, shuffling cards, dealing cards",,,,sit,shuffling,sit,full,83
egovid-44,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"using sewing machine, sewing yellow fabric, guiding fabric, adjusting fabric, ensuring alignment","using sewing machine, sewing yellow fabric, guiding fabric, adjusting fabric, ensuring alignment",,,,use,sewing,use,full,82
egovid-45,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sew fabric, guide fabric, make adjustments","sew fabric, guide fabric, make adjustments",,,,sew,fabric,sew,full,79
egovid-46,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, examining branch, cutting branch","holding pruning shears, examining branch, cutting branch",,,,hold,pruning,hold,full,79
egovid-47,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding wood, positioning wood on table saw, adjusting wood, preparing wood for cutting","holding wood, positioning wood on table saw, adjusting wood, preparing wood for cutting",,,,hold,wood,hold,full,79
egovid-48,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, arranging cards, shuffling cards, manipulating cards","sitting, arranging cards, shuffling cards, manipulating cards",,,,sit,cards,sit,full,78
egovid-49,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"lying, reading book, holding book, flipping pages","lying, reading book, holding book, flipping pages",,,,hold,lying,hold,full,77
egovid-50,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding book, opening book, reading, flipping pages","sitting, holding book, opening book, reading, flipping pages",,,,sit,book,sit,full,77
egovid-51,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing piano, hands moving across keys, reading sheet music, seated at piano","playing piano, hands moving across keys, reading sheet music, seated at piano",,,,move,playing,move,full,76
egovid-52,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub pot, rinse sponge","wash dishes, scrub pot, rinse sponge",,,,wash,dishes,wash,full,75
egovid-53,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming branches, moving methodically, demonstrating focused approach","holding pruning shears, trimming branches, moving methodically, demonstrating focused approach",,,,hold,pruning,hold,full,74
egovid-54,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, hold leash, dog sniff grass","walk dog, hold leash, dog sniff grass",,,,hold,walk,hold,full,73
egovid-55,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving hands, creating rhythmic performance","playing drum set, using drumsticks, moving hands, creating rhythmic performance",,,,use,playing,use,full,73
egovid-56,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"handling deck, shuffling cards, dealing cards","handling deck, shuffling cards, dealing cards",,,,handle,deck,handle,full,72
egovid-57,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffling cards, dealing cards, holding stack of cards","shuffling cards, dealing cards, holding stack of cards",,,,hold,shuffling,hold,full,72
egovid-58,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding open book, reading, turning pages","sitting, holding open book, reading, turning pages",,,,sit,book,sit,full,72
egovid-59,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"operate chainsaw, cut branches, maneuver chainsaw, trim branches","operate chainsaw, cut branches, maneuver chainsaw, trim branches",,,,operate,chainsaw,operate,full,71
egovid-60,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing keyboard, hands pressing keys, smartphone displaying screen","playing keyboard, hands pressing keys, smartphone displaying screen",,,,playing,playing,playing,full,70
egovid-61,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, reading book, flipping pages","sitting, reading book, flipping pages",,,,sit,reading,sit,full,70
egovid-62,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, place mold, press mold, lift mold, reveal brick, place brick","hold mold, place mold, press mold, lift mold, reveal brick, place brick",,,,hold,mold,hold,full,70
egovid-63,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, look down, ensure dog stays close","walk dog, look down, ensure dog stays close",,,,close,walk,close,full,69
egovid-64,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash hands, turn off faucet, reach for towel, dry hands","wash hands, turn off faucet, reach for towel, dry hands",,,,wash,hands,wash,full,67
egovid-65,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, conversing, gesturing","sitting, conversing, gesturing",,,,sit,conversing,sit,full,67
egovid-66,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, standing, trimming branches, moving shears, cutting branches","holding pruning shears, standing, trimming branches, moving shears, cutting branches",,,,hold,pruning,hold,full,67
egovid-67,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing harp, plucking strings, strumming strings, following sheet music","playing harp, plucking strings, strumming strings, following sheet music",,,,playing,playing,playing,full,67
egovid-68,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"chop vegetables, adjust position, prepare food","chop vegetables, adjust position, prepare food",,,,adjust,chop,adjust,full,66
egovid-69,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting wall, holding paintbrush, holding paint can, applying paint, moving brush back and forth","painting wall, holding paintbrush, holding paint can, applying paint, moving brush back and forth",,,,hold,painting,hold,full,65
egovid-70,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding deck of cards, shuffling cards, dealing cards","sitting, holding deck of cards, shuffling cards, dealing cards",,,,sit,deck,sit,full,64
egovid-71,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding book, flipping pages, reading","sitting, holding book, flipping pages, reading",,,,sit,book,sit,full,64
egovid-72,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving hands, playing drums energetically","playing drum set, using drumsticks, moving hands, playing drums energetically",,,,use,playing,use,full,64
egovid-73,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, shaping clay pot, smoothing surface, refining shape","sitting, shaping clay pot, smoothing surface, refining shape",,,,sit,shaping,sit,full,64
egovid-74,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding smartphone","sitting, holding smartphone",,,,sit,smartphone,sit,full,63
egovid-75,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"dealing cards, holding hand of cards","dealing cards, holding hand of cards",,,,hold,dealing,hold,full,63
egovid-76,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding game controller, playing video game","sitting, holding game controller, playing video game",,,,sit,game,sit,full,63
egovid-77,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"using sewing machine, sewing fabric, guiding fabric, aligning fabric, stitching edge","using sewing machine, sewing fabric, guiding fabric, aligning fabric, stitching edge",,,,use,sewing,use,full,63
egovid-78,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sit, knit, manipulate yarn, create stitches","sit, knit, manipulate yarn, create stitches",,,,sit,knit,sit,full,63
egovid-79,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffle cards, deal cards, watch attentively","shuffle cards, deal cards, watch attentively",,,,shuffle,shuffle,shuffle,full,62
egovid-80,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, working with yarn, creating stitches","sitting, knitting, working with yarn, creating stitches",,,,sit,knitting,sit,full,62
egovid-81,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub bowl, rinse sponge","wash dishes, scrub bowl, rinse sponge",,,,wash,dishes,wash,full,62
egovid-82,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, cutting branches, moving methodically, demonstrating focused approach","holding pruning shears, cutting branches, moving methodically, demonstrating focused approach",,,,hold,pruning,hold,full,61
egovid-83,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, crocheting, adjusting position","sitting, crocheting, adjusting position",,,,sit,crocheting,sit,full,61
egovid-84,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting wall, holding paint roller, applying paint, moving roller up and down","painting wall, holding paint roller, applying paint, moving roller up and down",,,,hold,painting,hold,full,60
egovid-85,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, handling cards, arranging cards","sitting, handling cards, arranging cards",,,,sit,cards,sit,full,60
egovid-86,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, peeling garlic cloves, placing cloves into bowl","sitting, peeling garlic cloves, placing cloves into bowl",,,,sit,peeling,sit,full,59
egovid-87,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash hands, rub hands, turn off faucet, reach for towel, dry hands","wash hands, rub hands, turn off faucet, reach for towel, dry hands",,,,wash,hands,wash,full,58
egovid-88,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, knitting, adjusting, working","sitting, knitting, adjusting, working",,,,sit,knitting,sit,full,58
egovid-89,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub utensils, rinse items, place aside","wash dishes, scrub utensils, rinse items, place aside",,,,wash,dishes,wash,full,58
egovid-90,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"play harp, pluck strings, strum strings, follow sheet music","play harp, pluck strings, strum strings, follow sheet music",,,,play,play,play,full,58
egovid-91,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding book, reading, flipping pages","sitting, holding book, reading, flipping pages",,,,sit,book,sit,full,57
egovid-92,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving arms, playing drums energetically","playing drum set, using drumsticks, moving arms, playing drums energetically",,,,use,playing,use,full,57
egovid-93,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffle cards, deal cards, hold deck","shuffle cards, deal cards, hold deck",,,,hold,shuffle,hold,full,56
egovid-94,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, trimming branches, moving methodically, demonstrating precise approach","holding pruning shears, trimming branches, moving methodically, demonstrating precise approach",,,,hold,pruning,hold,full,56
egovid-95,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding deck of cards, shuffling or arranging cards","sitting, holding deck of cards, shuffling or arranging cards",,,,sit,deck,sit,full,56
egovid-96,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting portrait, holding paintbrush, adding details","painting portrait, holding paintbrush, adding details",,,,hold,painting,hold,full,56
egovid-97,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sit, handle cotton, manipulate material","sit, handle cotton, manipulate material",,,,handle,cotton,handle,full,56
egovid-98,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding wood, positioning wood on table saw, adjusting wood, preparing for cut","holding wood, positioning wood on table saw, adjusting wood, preparing for cut",,,,hold,wood,hold,full,55
egovid-99,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, place mold, press mold, remove excess clay, reveal brick, place brick","hold mold, place mold, press mold, remove excess clay, reveal brick, place brick",,,,hold,mold,hold,full,55
egovid-100,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"hold mold, place mold, press mold, lift mold, place brick","hold mold, place mold, press mold, lift mold, place brick",,,,hold,mold,hold,full,55
egovid-101,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing keyboard, hands moving skillfully across keys","playing keyboard, hands moving skillfully across keys",,,,move,playing,move,full,55
egovid-102,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding steering wheel, adjusting grip, looking around","sitting, holding steering wheel, adjusting grip, looking around",,,,sit,steering,sit,full,54
egovid-103,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding deck of cards, shuffling cards, handling cards","sitting, holding deck of cards, shuffling cards, handling cards",,,,sit,deck,sit,full,54
egovid-104,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffle cards, deal cards, watch intently","shuffle cards, deal cards, watch intently",,,,shuffle,shuffle,shuffle,full,54
egovid-105,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"using table saw, cutting wood, adjusting wood, adjusting saw blade, making precise cuts","using table saw, cutting wood, adjusting wood, adjusting saw blade, making precise cuts",,,,use,table,use,full,54
egovid-106,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding paintbrush, applying paint, moving brush back and forth","holding paintbrush, applying paint, moving brush back and forth",,,,hold,paintbrush,hold,full,53
egovid-107,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"chopping vegetables, adjusting position, preparing food","chopping vegetables, adjusting position, preparing food",,,,prepare,chopping,prepare,full,53
egovid-108,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, reading book, adjusting position","sitting, reading book, adjusting position",,,,sit,reading,sit,full,53
egovid-109,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding plank, positioning plank, adjusting plank, securing plank","holding plank, positioning plank, adjusting plank, securing plank",,,,hold,plank,hold,full,52
egovid-110,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub bowl, rinse bowl, place bowl","wash dishes, scrub bowl, rinse bowl, place bowl",,,,wash,dishes,wash,full,52
egovid-111,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"guiding fabric, adjusting fabric, sewing","guiding fabric, adjusting fabric, sewing",,,,guiding,guiding,guiding,full,52
egovid-112,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing piano, hands moving across keys, following sheet music, seated at piano","playing piano, hands moving across keys, following sheet music, seated at piano",,,,move,playing,move,full,52
egovid-113,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding pruning shears, cutting branches, moving methodically, demonstrating precise approach","holding pruning shears, cutting branches, moving methodically, demonstrating precise approach",,,,hold,pruning,hold,full,52
egovid-114,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"play badminton, hit shuttlecock, move around court","play badminton, hit shuttlecock, move around court",,,,move,play,move,full,52
egovid-115,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, reading book","sitting, reading book",,,,sit,reading,sit,full,52
egovid-116,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walk dog, hold smartphone","walk dog, hold smartphone",,,,hold,walk,hold,full,52
egovid-117,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing piano, seated, hands moving across keys, following sheet music","playing piano, seated, hands moving across keys, following sheet music",,,,seated,playing,seated,full,52
egovid-118,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding trowel, applying mortar, spreading mortar, building brick wall","holding trowel, applying mortar, spreading mortar, building brick wall",,,,hold,trowel,hold,full,52
egovid-119,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding smartphone, watching video","sitting, holding smartphone, watching video",,,,sit,smartphone,sit,full,52
egovid-120,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drum set, using drumsticks, moving hands, showcasing drumming skills","playing drum set, using drumsticks, moving hands, showcasing drumming skills",,,,use,playing,use,full,52
egovid-121,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"shuffle cards, deal cards, observe game","shuffle cards, deal cards, observe game",,,,shuffle,shuffle,shuffle,full,51
egovid-122,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"painting wall, holding paintbrush, applying paint, moving brush up and down","painting wall, holding paintbrush, applying paint, moving brush up and down",,,,hold,painting,hold,full,51
egovid-123,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"prune grapevines, use pruning shears, move methodically, demonstrate precise approach","prune grapevines, use pruning shears, move methodically, demonstrate precise approach",,,,use,prune,use,full,51
egovid-124,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"playing drums, moving arms, using drumsticks","playing drums, moving arms, using drumsticks",,,,move,playing,move,full,51
egovid-125,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"iron shirt, move iron back and forth, ensure wrinkle-free","iron shirt, move iron back and forth, ensure wrinkle-free",,,,move,iron,move,full,51
egovid-126,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, holding book, reading, adjusting position","sitting, holding book, reading, adjusting position",,,,sit,book,sit,full,50
egovid-127,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"paint wall, hold paintbrush, hold paint can, dip brush, apply paint","paint wall, hold paintbrush, hold paint can, dip brush, apply paint",,,,hold,paint,hold,full,50
egovid-128,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash dishes, scrub plate, rinse plate","wash dishes, scrub plate, rinse plate",,,,wash,dishes,wash,full,50
egovid-129,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"using sewing machine, sewing fabric, guiding fabric, adjusting fabric, ensuring alignment","using sewing machine, sewing fabric, guiding fabric, adjusting fabric, ensuring alignment",,,,use,sewing,use,full,50
egovid-130,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"prune grapevines, use pruning shears, move methodically, demonstrate focused approach","prune grapevines, use pruning shears, move methodically, demonstrate focused approach",,,,use,prune,use,full,49
egovid-131,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"wash hands, rub hands, continue washing hands","wash hands, rub hands, continue washing hands",,,,wash,hands,wash,full,49
egovid-132,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"iron white shirt, move iron back and forth, ensure wrinkle-free","iron white shirt, move iron back and forth, ensure wrinkle-free",,,,move,iron,move,full,49
egovid-133,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"handling cards, observing game","handling cards, observing game",,,,handle,cards,handle,full,48
egovid-134,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, handling deck, shuffling cards, dealing cards","sitting, handling deck, shuffling cards, dealing cards",,,,sit,deck,sit,full,47
egovid-135,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"picking up puzzle pieces, examining puzzle pieces, solving jigsaw puzzle","picking up puzzle pieces, examining puzzle pieces, solving jigsaw puzzle",,,,picking,picking,picking,full,47
egovid-136,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"operating table saw, guiding wood, adjusting wood, adjusting saw blade, cutting wood","operating table saw, guiding wood, adjusting wood, adjusting saw blade, cutting wood",,,,cut,operating,cut,full,46
egovid-137,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"holding wood, positioning wood on table saw, adjusting wood, aligning wood with saw blade","holding wood, positioning wood on table saw, adjusting wood, aligning wood with saw blade",,,,hold,wood,hold,full,45
egovid-138,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"lying, reading book, holding book, turning pages","lying, reading book, holding book, turning pages",,,,hold,lying,hold,full,45
egovid-139,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"sitting, playing Jenga, removing block, placing block","sitting, playing jenga, removing block, placing block",,,,sit,playing,sit,full,45
egovid-140,EgoVid-5M,Ego4D (EgoVid-5M curation),clip-narration,"walking dog, holding smartphone","walking dog, holding smartphone",,,,walk,smartphone,walk,full,45
