ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,verb_category,subject,split,count
egoclip-75,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C swings the right hand,swings the right hand,,,,swing,right,swing,camera_wearer,full,1114
egoclip-76,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C opens the cabinet,opens the cabinet,,,,open,cabinet,open,camera_wearer,full,1103
egoclip-77,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks a knife.,picks a knife,,,,pick,knife,pick,camera_wearer,full,1094
egoclip-78,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C turns on the tap.,turns on the tap,,,,turn,tap,turn,camera_wearer,full,1072
egoclip-79,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C turns off the tap.,turns off the tap,,,,turn,tap,turn,camera_wearer,full,1062
egoclip-80,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C lifts the right hand,lifts the right hand,,,,lift,right,lift,camera_wearer,full,1062
egoclip-81,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks around the road,looks around the road,,,,look,road,look,camera_wearer,full,1047
egoclip-82,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks at man X,looks at man x,,,,look,man,look,camera_wearer,full,1042
egoclip-83,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C opens the book .,opens the book,,,,open,book,open,camera_wearer,full,1040
egoclip-84,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks a card,picks a card,,,,pick,card,pick,camera_wearer,full,1034
egoclip-85,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#c c looks around the supermarket,looks around the supermarket,,,,look,supermarket,look,camera_wearer,full,1031
egoclip-86,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks a cloth,picks a cloth,,,,pick,cloth,pick,camera_wearer,full,1027
egoclip-87,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C interacts with the man X.,interacts with the man x,,,,interact,man,interact,camera_wearer,full,1027
egoclip-88,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C plays the piano with both hands.,plays the piano with both hands,,,,play,piano,play,camera_wearer,full,1026
egoclip-89,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C talks to woman X,talks to woman x,,,,talk,woman,talk,camera_wearer,full,1021
egoclip-90,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks around the field,looks around the field,,,,look,field,look,camera_wearer,full,1007
egoclip-91,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves both hands,moves both hands,,,,move,both,move,camera_wearer,full,992
egoclip-92,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C makes a step,makes a step,,,,make,step,make,camera_wearer,full,978
egoclip-93,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C closes the cabinet.,closes the cabinet,,,,close,cabinet,close,camera_wearer,full,975
egoclip-94,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#c c walks in the supermarket,walks in the supermarket,,,,walk,supermarket,walk,camera_wearer,full,972
egoclip-95,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C crosses the road,crosses the road,,,,cross,road,cross,camera_wearer,full,972
egoclip-96,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks in the workshop,walks in the workshop,,,,walk,workshop,walk,camera_wearer,full,961
egoclip-97,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#CC stares at the laptop,stares at the laptop,,,,stare,laptop,stare,camera_wearer,full,947
egoclip-98,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C folds the cloth,folds the cloth,,,,fold,cloth,fold,camera_wearer,full,946
egoclip-99,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks the knife,picks the knife,,,,pick,knife,pick,camera_wearer,full,937
egoclip-100,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C talks to a man X,talks to a man x,,,,talk,man,talk,camera_wearer,full,936
egoclip-101,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C puts the card on the table,puts the card on the table,,,,put,card,put,camera_wearer,full,934
egoclip-102,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C converses with a man X,converses with a man x,,,,converse,man,converse,camera_wearer,full,929
egoclip-103,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C paints the drawing,paints the drawing,,,,paint,drawing,paint,camera_wearer,full,917
egoclip-104,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C watches the television,watches the television,,,,watch,television,watch,camera_wearer,full,907
egoclip-105,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C puts a card on the table,puts a card on the table,,,,put,card,put,camera_wearer,full,906
egoclip-106,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks aside,looks aside,,,,look,aside,look,camera_wearer,full,903
egoclip-107,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C adjusts camera,adjusts camera,,,,adjust,camera,adjust,camera_wearer,full,899
egoclip-108,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the field,walks around the field,,,,walk,field,walk,camera_wearer,full,894
egoclip-109,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks at the paper,looks at the paper,,,,look,paper,look,camera_wearer,full,890
egoclip-110,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the supermarket,walks around the supermarket,,,,walk,supermarket,walk,camera_wearer,full,886
egoclip-111,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C holds the phone,holds the phone,,,,hold,phone,hold,camera_wearer,full,877
egoclip-112,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C stirs the food.,stirs the food,,,,stir,food,stir,camera_wearer,full,872
egoclip-113,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C dips the brush in the paint,dips the brush in the paint,,,,dip,brush,dip,camera_wearer,full,863
egoclip-114,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C closes the door.,closes the door,,,,close,door,close,camera_wearer,full,857
egoclip-115,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C lifts the hand.,lifts the hand,,,,lift,hand,lift,camera_wearer,full,856
egoclip-116,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C turns right,turns right,,,,turn,right,turn,camera_wearer,full,852
egoclip-117,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C paints the wall with the paint brush.,paints the wall with the paint brush,,,,paint,wall,paint,camera_wearer,full,843
egoclip-118,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C pulls thread,pulls thread,,,,pull,thread,pull,camera_wearer,full,839
egoclip-119,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks around the store,walks around the store,,,,walk,store,walk,camera_wearer,full,822
egoclip-120,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C Walks around a room,walks around a room,,,,walk,room,walk,camera_wearer,full,819
egoclip-121,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks along the road,walks along the road,,,,walk,along,walk,camera_wearer,full,819
egoclip-122,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C operates phone,operates phone,,,,operate,phone,operate,camera_wearer,full,816
egoclip-123,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C wipes the book,wipes the book,,,,wipe,book,wipe,camera_wearer,full,815
egoclip-124,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C turns left,turns left,,,,turn,left,turn,camera_wearer,full,814
egoclip-125,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks the card,picks the card,,,,pick,card,pick,camera_wearer,full,811
egoclip-126,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C writes on the paper,writes on the paper,,,,write,paper,write,camera_wearer,full,799
egoclip-127,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C puts the card down,puts the card down,,,,put,card,put,camera_wearer,full,799
egoclip-128,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks the cloth,picks the cloth,,,,pick,cloth,pick,camera_wearer,full,795
egoclip-129,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks a brick,picks a brick,,,,pick,brick,pick,camera_wearer,full,782
egoclip-130,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C scrolls phone,scrolls phone,,,,scroll,phone,scroll,camera_wearer,full,781
egoclip-131,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks a piece of wood,picks a piece of wood,,,,pick,piece,pick,camera_wearer,full,781
egoclip-132,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C interacts with man X,interacts with man x,,,,interact,man,interact,camera_wearer,full,780
egoclip-133,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks on the sidewalk,walks on the sidewalk,,,,walk,sidewalk,walk,camera_wearer,full,780
egoclip-134,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C writes on the book,writes on the book,,,,write,book,write,camera_wearer,full,778
egoclip-135,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C adjusts the fabric,adjusts the fabric,,,,adjust,fabric,adjust,camera_wearer,full,777
egoclip-136,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C lifts the left hand.,lifts the left hand,,,,lift,left,lift,camera_wearer,full,774
egoclip-137,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C sits down.,sits down,,,,sit,down,sit,camera_wearer,full,773
egoclip-138,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C plays the piano,plays the piano,,,,play,piano,play,camera_wearer,full,770
egoclip-139,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C sews the cloth,sews the cloth,,,,sew,cloth,sew,camera_wearer,full,762
egoclip-140,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C stands on the floor,stands on the floor,,,,stand,floor,stand,camera_wearer,full,758
egoclip-141,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C draws on the book,draws on the book,,,,draw,book,draw,camera_wearer,full,750
egoclip-142,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C draws on the paper,draws on the paper,,,,draw,paper,draw,camera_wearer,full,749
egoclip-143,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks the dough,picks the dough,,,,pick,dough,pick,camera_wearer,full,748
egoclip-144,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C touches the camera.,touches the camera,,,,touch,camera,touch,camera_wearer,full,747
egoclip-145,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C lifts hand,lifts hand,,,,lift,hand,lift,camera_wearer,full,747
egoclip-146,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks the book,picks the book,,,,pick,book,pick,camera_wearer,full,740
egoclip-147,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C picks a spoon.,picks a spoon,,,,pick,spoon,pick,camera_wearer,full,739
egoclip-148,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C adjusts the thread,adjusts the thread,,,,adjust,thread,adjust,camera_wearer,full,738
egoclip-149,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C talks to a woman X,talks to a woman x,,,,talk,woman,talk,camera_wearer,full,737
egoclip-150,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C looks at the mirror.,looks at the mirror,,,,look,mirror,look,camera_wearer,full,734
egoclip-151,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C moves forward,moves forward,,,,move,forward,move,camera_wearer,full,731
egoclip-152,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C eats the food,eats the food,,,,eat,food,eat,camera_wearer,full,727
egoclip-153,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C talks to man Y,talks to man y,,,,talk,man,talk,camera_wearer,full,726
egoclip-154,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#c c types on the keyboard,types on the keyboard,,,,type,keyboard,type,camera_wearer,full,722
egoclip-155,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C turns the dough,turns the dough,,,,turn,dough,turn,camera_wearer,full,718
egoclip-156,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C walks on the ground,walks on the ground,,,,walk,ground,walk,camera_wearer,full,714
egoclip-157,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C stares at the book,stares at the book,,,,stare,book,stare,camera_wearer,full,711
egoclip-158,EgoVLP (EgoClip),Ego4D (EgoVLP/EgoClip filtering),clip-narration,#C C folds the paper,folds the paper,,,,fold,paper,fold,camera_wearer,full,708
