ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,verb_category,split,task,llm_type,which,alt_description,env_table,env_position,env_background,n_objects
test/assemble_disassemble_furniture_bench_chair/89,EgoDex,EgoDex,task-instruction,Disassemble a chair while sitting at a table with a blue tablecloth and pink background.,disassemble a chair while sitting at a table with a blue tablecloth and pink background.,,,assemble_disassemble_furniture_bench_chair,disassemble,chair,disassemble,test,assemble_disassemble_furniture_bench_chair,reversible,2,Assemble a chair while sitting at a table with a blue tablecloth and pink background.,,sitting,pink,1
test/assemble_disassemble_furniture_bench_desk/1,EgoDex,EgoDex,task-instruction,Assemble a desk while sitting at a table with a green tablecloth and white background.,assemble a desk while sitting at a table with a green tablecloth and white background.,,,assemble_disassemble_furniture_bench_desk,assemble,desk,assemble,test,assemble_disassemble_furniture_bench_desk,reversible,1,Disassemble a desk while sitting at a table with a green tablecloth and white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_desk/10,EgoDex,EgoDex,task-instruction,Assemble a desk while sitting at a table with a green tablecloth and white background.,assemble a desk while sitting at a table with a green tablecloth and white background.,,,assemble_disassemble_furniture_bench_desk,assemble,desk,assemble,test,assemble_disassemble_furniture_bench_desk,reversible,1,Disassemble the desk while sitting at a table with a green tablecloth and white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_desk/16,EgoDex,EgoDex,task-instruction,Disassemble a square table on a wooden table in a sitting position with a brown background.,disassemble a square table on a wooden table in a sitting position with a brown background.,,,assemble_disassemble_furniture_bench_desk,disassemble,furniture,disassemble,test,Assemble Disassemble Furniture Desk,reversible,2,Assemble a square table on a wooden table in a sitting position with a brown background.,wood,sitting,brown,4
test/assemble_disassemble_furniture_bench_desk/25,EgoDex,EgoDex,task-instruction,Disassemble a square table on a wooden table in a sitting position with a brown background.,disassemble a square table on a wooden table in a sitting position with a brown background.,,,assemble_disassemble_furniture_bench_desk,disassemble,furniture,disassemble,test,Assemble Disassemble Furniture Desk,reversible,2,Assemble a square table on a wooden table in a sitting position with a brown background.,wood,sitting,brown,4
test/assemble_disassemble_furniture_bench_desk/26,EgoDex,EgoDex,task-instruction,Disassemble a square table on a wooden table while sitting with a brown background.,disassemble a square table on a wooden table while sitting with a brown background.,,,assemble_disassemble_furniture_bench_desk,disassemble,squaretable,disassemble,test,Assemble Disassemble Furniture Desk,reversible,2,Assemble a square table on a wooden table while sitting with a brown background.,wood,sitting,brown,2
test/assemble_disassemble_furniture_bench_desk/34,EgoDex,EgoDex,task-instruction,Assemble a square table desk made of wood on a brown background while sitting.,assemble a square table desk made of wood on a brown background while sitting.,,,assemble_disassemble_furniture_bench_desk,assemble,squaretable,assemble,test,Assemble Disassemble Furniture Desk,reversible,1,Disassemble a square table desk made of wood on a brown background while sitting.,wood,sitting,brown,2
test/assemble_disassemble_furniture_bench_desk/53,EgoDex,EgoDex,task-instruction,Disassemble a square table desk while sitting at a wooden table with a brown background.,disassemble a square table desk while sitting at a wooden table with a brown background.,,,assemble_disassemble_furniture_bench_desk,disassemble,squaretable,disassemble,test,Assemble Disassemble Furniture Desk,reversible,2,Assemble a square table desk while sitting at a wooden table with a brown background.,wood,sitting,brown,2
test/assemble_disassemble_furniture_bench_desk/6,EgoDex,EgoDex,task-instruction,Disassemble a desk while sitting at a table with a green tablecloth and white background.,disassemble a desk while sitting at a table with a green tablecloth and white background.,,,assemble_disassemble_furniture_bench_desk,disassemble,desk,disassemble,test,assemble_disassemble_furniture_bench_desk,reversible,2,Assemble a desk while sitting at a table with a green tablecloth and white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_desk/8,EgoDex,EgoDex,task-instruction,Disassemble the desk while sitting at a table with a green tablecloth and white background.,disassemble the desk while sitting at a table with a green tablecloth and white background.,,,assemble_disassemble_furniture_bench_desk,disassemble,desk,disassemble,test,assemble_disassemble_furniture_bench_desk,reversible,2,Assemble the desk while sitting at a table with a green tablecloth and white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_desk/9,EgoDex,EgoDex,task-instruction,Assemble a desk while sitting at a table with a green tablecloth and white background.,assemble a desk while sitting at a table with a green tablecloth and white background.,,,assemble_disassemble_furniture_bench_desk,assemble,desk,assemble,test,assemble_disassemble_furniture_bench_desk,reversible,1,Disassemble the desk while sitting at a table with a green tablecloth and white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_drawer/12,EgoDex,EgoDex,task-instruction,Assemble the drawer from furniture bench while sitting against a lavender background.,assemble the drawer from furniture bench while sitting against a lavender background.,,,assemble_disassemble_furniture_bench_drawer,assemble,drawer,assemble,test,assemble_disassemble_furniture_bench_drawer,reversible,1,Disassemble the drawer from furniture bench while sitting against a lavender background.,,sitting,lavender,1
test/assemble_disassemble_furniture_bench_drawer/13,EgoDex,EgoDex,task-instruction,Assemble the drawer of furniture bench while sitting at a table with a red tablecloth and lavender background.,assemble the drawer of furniture bench while sitting at a table with a red tablecloth and lavender background.,,,assemble_disassemble_furniture_bench_drawer,assemble,drawer,assemble,test,assemble_disassemble_furniture_bench_drawer,reversible,1,Disassemble the drawer of furniture bench while sitting at a table with a red tablecloth and lavender background.,,sitting,lavender,1
test/assemble_disassemble_furniture_bench_drawer/16,EgoDex,EgoDex,task-instruction,Assemble the drawer from furniture bench on a blue tablecloth while sitting against a pink background.,assemble the drawer from furniture bench on a blue tablecloth while sitting against a pink background.,,,assemble_disassemble_furniture_bench_drawer,assemble,drawer,assemble,test,assemble_disassemble_furniture_bench_drawer,reversible,1,Disassemble the drawer from furniture bench on a blue tablecloth while sitting against a pink background.,,sitting,pink,1
test/assemble_disassemble_furniture_bench_drawer/2,EgoDex,EgoDex,task-instruction,Assemble the drawer from the furniture bench while sitting against a lavender background.,assemble the drawer from the furniture bench while sitting against a lavender background.,,,assemble_disassemble_furniture_bench_drawer,assemble,drawer,assemble,test,assemble_disassemble_furniture_bench_drawer,reversible,1,Disassemble the drawer from the furniture bench while sitting against a lavender background.,,sitting,lavender,2
test/assemble_disassemble_furniture_bench_drawer/28,EgoDex,EgoDex,task-instruction,Disassemble the drawer from furniture bench while sitting at a table with a red tablecloth and lavender background.,disassemble the drawer from furniture bench while sitting at a table with a red tablecloth and lavender background.,,,assemble_disassemble_furniture_bench_drawer,disassemble,drawer,disassemble,test,assemble_disassemble_furniture_bench_drawer,reversible,2,Assemble the drawer from furniture bench while sitting at a table with a red tablecloth and lavender background.,,sitting,lavender,1
test/assemble_disassemble_furniture_bench_drawer/30,EgoDex,EgoDex,task-instruction,Assemble the drawer from the furniture bench while sitting against a lavender background.,assemble the drawer from the furniture bench while sitting against a lavender background.,,,assemble_disassemble_furniture_bench_drawer,assemble,drawer,assemble,test,assemble_disassemble_furniture_bench_drawer,reversible,1,Disassemble the drawer from the furniture bench while sitting against a lavender background.,,sitting,lavender,2
test/assemble_disassemble_furniture_bench_drawer/47,EgoDex,EgoDex,task-instruction,Assemble the drawer from furniture bench on a blue tablecloth with a pink background while sitting.,assemble the drawer from furniture bench on a blue tablecloth with a pink background while sitting.,,,assemble_disassemble_furniture_bench_drawer,assemble,drawer,assemble,test,assemble_disassemble_furniture_bench_drawer,reversible,1,Disassemble the drawer from furniture bench on a blue tablecloth with a pink background while sitting.,,sitting,pink,1
test/assemble_disassemble_furniture_bench_lamp/1,EgoDex,EgoDex,task-instruction,Disassemble the lamp by removing the bulb while sitting at a wooden table with a red background using the right hand.,disassemble the lamp by removing the bulb while sitting at a wooden table with a red background using the right hand.,,,assemble_disassemble_furniture_bench_lamp,disassemble,lamp,disassemble,test,assemble_disassemble_furniture_bench_lamp,reversible,2,Assemble a lamp by attaching a bulb while sitting at a wooden table with a red background using the right hand.,wood,sitting,red,2
test/assemble_disassemble_furniture_bench_lamp/17,EgoDex,EgoDex,task-instruction,Disassemble the shade from the lamp while sitting at a wooden table with a red background using the right hand.,disassemble the shade from the lamp while sitting at a wooden table with a red background using the right hand.,,,assemble_disassemble_furniture_bench_lamp,disassemble,lamp,disassemble,test,assemble_disassemble_furniture_bench_lamp,reversible,2,Assemble the shade onto the lamp while sitting at a wooden table with a red background using the right hand.,wood,sitting,red,2
test/assemble_disassemble_furniture_bench_lamp/18,EgoDex,EgoDex,task-instruction,Assemble the shade onto the lamp while sitting at a wooden table with a red background using the right hand.,assemble the shade onto the lamp while sitting at a wooden table with a red background using the right hand.,,,assemble_disassemble_furniture_bench_lamp,assemble,lamp,assemble,test,assemble_disassemble_furniture_bench_lamp,reversible,1,Disassemble the shade from the lamp while sitting at a wooden table with a red background using the right hand.,wood,sitting,red,2
test/assemble_disassemble_furniture_bench_lamp/24,EgoDex,EgoDex,task-instruction,Disassemble the shade from the lamp while sitting at a wooden table with a red background using the right hand.,disassemble the shade from the lamp while sitting at a wooden table with a red background using the right hand.,,,assemble_disassemble_furniture_bench_lamp,disassemble,lamp,disassemble,test,assemble_disassemble_furniture_bench_lamp,reversible,2,Assemble the shade onto the lamp while sitting at a wooden table with a red background using the right hand.,wood,sitting,red,2
test/assemble_disassemble_furniture_bench_lamp/27,EgoDex,EgoDex,task-instruction,Disassemble the shade from the lamp while sitting at a wooden table with a red background using the right hand.,disassemble the shade from the lamp while sitting at a wooden table with a red background using the right hand.,,,assemble_disassemble_furniture_bench_lamp,disassemble,lamp,disassemble,test,assemble_disassemble_furniture_bench_lamp,reversible,2,Assemble the shade onto the lamp while sitting at a wooden table with a red background using the right hand.,wood,sitting,red,2
test/assemble_disassemble_furniture_bench_lamp/29,EgoDex,EgoDex,task-instruction,Disassemble the lamp by removing the bulb while sitting at a wooden table with a red background using the right hand.,disassemble the lamp by removing the bulb while sitting at a wooden table with a red background using the right hand.,,,assemble_disassemble_furniture_bench_lamp,disassemble,lamp,disassemble,test,assemble_disassemble_furniture_bench_lamp,reversible,2,Assemble a lamp by attaching a bulb while sitting at a wooden table with a red background using the right hand.,wood,sitting,red,2
test/assemble_disassemble_furniture_bench_lamp/31,EgoDex,EgoDex,task-instruction,Assemble the shade onto the lamp while sitting at a wooden table with a red background using the right hand.,assemble the shade onto the lamp while sitting at a wooden table with a red background using the right hand.,,,assemble_disassemble_furniture_bench_lamp,assemble,lamp,assemble,test,assemble_disassemble_furniture_bench_lamp,reversible,1,Disassemble the shade from the lamp while sitting at a wooden table with a red background using the right hand.,wood,sitting,red,2
test/assemble_disassemble_furniture_bench_square_table/10,EgoDex,EgoDex,task-instruction,Assemble a square table while sitting at a green tablecloth-covered table with a white background.,assemble a square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,assemble,square table,assemble,test,assemble_disassemble_furniture_bench_square_table,reversible,1,Disassemble a square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/19,EgoDex,EgoDex,task-instruction,Assemble a square table while sitting at a green tablecloth-covered table with a white background.,assemble a square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,assemble,square table,assemble,test,assemble_disassemble_furniture_bench_square_table,reversible,1,Disassemble a square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/27,EgoDex,EgoDex,task-instruction,Disassemble the square table while sitting at a green tablecloth-covered table with a white background.,disassemble the square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,disassemble,square table,disassemble,test,assemble_disassemble_furniture_bench_square_table,reversible,2,Assemble the square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/30,EgoDex,EgoDex,task-instruction,Assemble the square table while sitting at a green tablecloth-covered table with a white background.,assemble the square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,assemble,square table,assemble,test,assemble_disassemble_furniture_bench_square_table,reversible,1,Disassemble the square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/50,EgoDex,EgoDex,task-instruction,Disassemble the square table while sitting at a green tablecloth-covered table with a white background.,disassemble the square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,disassemble,square table,disassemble,test,assemble_disassemble_furniture_bench_square_table,reversible,2,Assemble a square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/65,EgoDex,EgoDex,task-instruction,Disassemble the square table while sitting at a green tablecloth-covered table with a white background.,disassemble the square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,disassemble,square table,disassemble,test,assemble_disassemble_furniture_bench_square_table,reversible,2,Assemble the square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/67,EgoDex,EgoDex,task-instruction,Assemble the square table while sitting at a green tablecloth-covered table with a white background.,assemble the square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,assemble,square table,assemble,test,assemble_disassemble_furniture_bench_square_table,reversible,1,Disassemble the square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/7,EgoDex,EgoDex,task-instruction,Assemble a square table while sitting at a green tablecloth-covered table with a white background.,assemble a square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,assemble,square table,assemble,test,assemble_disassemble_furniture_bench_square_table,reversible,1,Disassemble a square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/70,EgoDex,EgoDex,task-instruction,Disassemble a square table while sitting at a green tablecloth-covered table with a white background.,disassemble a square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,disassemble,square table,disassemble,test,assemble_disassemble_furniture_bench_square_table,reversible,2,Assemble a square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/77,EgoDex,EgoDex,task-instruction,Disassemble a square table on a wooden table surface while sitting with a brown background.,disassemble a square table on a wooden table surface while sitting with a brown background.,,,assemble_disassemble_furniture_bench_square_table,disassemble,square table,disassemble,test,Assemble Disassemble Furniture Square Table,reversible,2,Assemble a square table on a wooden table surface while sitting with a brown background.,wood,sitting,brown,2
test/assemble_disassemble_furniture_bench_square_table/8,EgoDex,EgoDex,task-instruction,Disassemble a square table while sitting at a green tablecloth-covered table with a white background.,disassemble a square table while sitting at a green tablecloth-covered table with a white background.,,,assemble_disassemble_furniture_bench_square_table,disassemble,square table,disassemble,test,assemble_disassemble_furniture_bench_square_table,reversible,2,Assemble a square table while sitting at a green tablecloth-covered table with a white background.,,sitting,white,1
test/assemble_disassemble_furniture_bench_square_table/82,EgoDex,EgoDex,task-instruction,Assemble the square table on a wooden table surface while sitting with a brown background.,assemble the square table on a wooden table surface while sitting with a brown background.,,,assemble_disassemble_furniture_bench_square_table,assemble,square table,assemble,test,Assemble Disassemble Furniture Square Table,reversible,1,Disassemble the square table on a wooden table surface while sitting with a brown background.,wood,sitting,brown,2
test/assemble_disassemble_furniture_bench_square_table/84,EgoDex,EgoDex,task-instruction,Assemble a square table on a wooden table surface while sitting with a brown background.,assemble a square table on a wooden table surface while sitting with a brown background.,,,assemble_disassemble_furniture_bench_square_table,assemble,square table,assemble,test,Assemble Disassemble Furniture Square Table,reversible,1,Disassemble the square table on a wooden table surface while sitting with a brown background.,wood,sitting,brown,2
test/assemble_disassemble_furniture_bench_stool/13,EgoDex,EgoDex,task-instruction,Description unavailable.,description unavailable.,,,assemble_disassemble_furniture_bench_stool,?,?,?,test,assemble_disassemble_furniture_bench_stool,reset-free,1,None,,sitting,blue,0
test/assemble_disassemble_furniture_bench_stool/26,EgoDex,EgoDex,task-instruction,Assemble a stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,assemble a stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,,,assemble_disassemble_furniture_bench_stool,assemble,stool,assemble,test,assemble_disassemble_furniture_bench_stool,reversible,1,Disassemble a stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,,sitting,blue,2
test/assemble_disassemble_furniture_bench_stool/37,EgoDex,EgoDex,task-instruction,Assemble a stool from furniture bench while sitting at a table with a green tablecloth and blue background.,assemble a stool from furniture bench while sitting at a table with a green tablecloth and blue background.,,,assemble_disassemble_furniture_bench_stool,assemble,stool,assemble,test,assemble_disassemble_furniture_bench_stool,reversible,1,Disassemble the stool from furniture bench while sitting at a table with a green tablecloth and blue background.,,sitting,blue,2
test/assemble_disassemble_furniture_bench_stool/39,EgoDex,EgoDex,task-instruction,Assemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,assemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,,,assemble_disassemble_furniture_bench_stool,assemble,stool,assemble,test,assemble_disassemble_furniture_bench_stool,reversible,1,Disassemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,,sitting,blue,3
test/assemble_disassemble_furniture_bench_stool/4,EgoDex,EgoDex,task-instruction,Assemble the leg onto the furniture bench stool on a wooden table with a red background while sitting.,assemble the leg onto the furniture bench stool on a wooden table with a red background while sitting.,,,assemble_disassemble_furniture_bench_stool,assemble,leg,assemble,test,assemble_disassemble_furniture_bench_stool,reversible,1,Disassemble the leg from the furniture bench stool on a wooden table with a red background while sitting.,wood,sitting,red,3
test/assemble_disassemble_furniture_bench_stool/40,EgoDex,EgoDex,task-instruction,Disassemble a stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,disassemble a stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,,,assemble_disassemble_furniture_bench_stool,disassemble,stool,disassemble,test,assemble_disassemble_furniture_bench_stool,reversible,2,Assemble a stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,,sitting,blue,2
test/assemble_disassemble_furniture_bench_stool/44,EgoDex,EgoDex,task-instruction,Disassemble the lamp by removing the bulb while sitting at a table with a green tablecloth and blue background.,disassemble the lamp by removing the bulb while sitting at a table with a green tablecloth and blue background.,,,assemble_disassemble_furniture_bench_stool,disassemble,lamp,disassemble,test,assemble_disassemble_furniture_bench_stool,reversible,2,Assemble a lamp by installing a bulb while sitting at a table with a green tablecloth and blue background.,,sitting,blue,2
test/assemble_disassemble_furniture_bench_stool/47,EgoDex,EgoDex,task-instruction,Assemble a stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,assemble a stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,,,assemble_disassemble_furniture_bench_stool,assemble,stool,assemble,test,assemble_disassemble_furniture_bench_stool,reversible,1,Disassemble the stool from furniture bench while sitting at a table with a green tablecloth and a blue background.,,sitting,blue,3
test/assemble_disassemble_furniture_bench_stool/5,EgoDex,EgoDex,task-instruction,"Disassemble a furniture bench stool on a green tablecloth with a blue background while sitting, involving a lamb object and bulb part.","disassemble a furniture bench stool on a green tablecloth with a blue background while sitting, involving a lamb object and bulb part.",,,assemble_disassemble_furniture_bench_stool,disassemble,furniture,disassemble,test,assemble_disassemble_furniture_bench_stool,reversible,2,"Assemble a furniture bench stool on a green tablecloth with a blue background while sitting, involving a lamb object and bulb part.",,sitting,blue,5
test/assemble_disassemble_furniture_bench_stool/50,EgoDex,EgoDex,task-instruction,Assemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,assemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,,,assemble_disassemble_furniture_bench_stool,assemble,stool,assemble,test,assemble_disassemble_furniture_bench_stool,reversible,1,Disassemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,,sitting,blue,3
test/assemble_disassemble_furniture_bench_stool/53,EgoDex,EgoDex,task-instruction,Assemble the leg onto the furniture bench stool on a wooden table with a red background while sitting.,assemble the leg onto the furniture bench stool on a wooden table with a red background while sitting.,,,assemble_disassemble_furniture_bench_stool,assemble,leg,assemble,test,assemble_disassemble_furniture_bench_stool,reversible,1,Disassemble the leg from the furniture bench stool on a wooden table with a red background while sitting.,wood,sitting,red,5
test/assemble_disassemble_furniture_bench_stool/56,EgoDex,EgoDex,task-instruction,Disassemble a furniture bench stool with a bulb while sitting at a green tablecloth against a blue background.,disassemble a furniture bench stool with a bulb while sitting at a green tablecloth against a blue background.,,,assemble_disassemble_furniture_bench_stool,disassemble,furniture bench stool,disassemble,test,assemble_disassemble_furniture_bench_stool,reversible,2,Assemble a furniture bench stool with a bulb while sitting at a green tablecloth against a blue background.,,sitting,blue,2
test/assemble_disassemble_furniture_bench_stool/62,EgoDex,EgoDex,task-instruction,Disassemble a stool from furniture bench while sitting at a green tablecloth with a blue background.,disassemble a stool from furniture bench while sitting at a green tablecloth with a blue background.,,,assemble_disassemble_furniture_bench_stool,disassemble,stool,disassemble,test,assemble_disassemble_furniture_bench_stool,reversible,2,Assemble a stool from furniture bench while sitting at a green tablecloth with a blue background.,,sitting,blue,3
test/assemble_disassemble_furniture_bench_stool/66,EgoDex,EgoDex,task-instruction,Disassemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,disassemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,,,assemble_disassemble_furniture_bench_stool,disassemble,stool,disassemble,test,assemble_disassemble_furniture_bench_stool,reversible,2,Assemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,,sitting,blue,3
test/assemble_disassemble_furniture_bench_stool/71,EgoDex,EgoDex,task-instruction,Assemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,assemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,,,assemble_disassemble_furniture_bench_stool,assemble,stool,assemble,test,assemble_disassemble_furniture_bench_stool,reversible,1,Disassemble a stool from furniture bench on a green tablecloth with a blue background while sitting.,,sitting,blue,3
test/assemble_disassemble_legos/14,EgoDex,EgoDex,task-instruction,Disassemble five legos on a green tablecloth while sitting against a blue background.,disassemble five legos on a green tablecloth while sitting against a blue background.,,,assemble_disassemble_legos,disassemble,legos,disassemble,test,assemble_disassemble_legos,reversible,2,Assemble five legos on a green tablecloth while sitting against a blue background.,,sitting,blue,1
test/assemble_disassemble_legos/24,EgoDex,EgoDex,task-instruction,Assemble five legos on a blue tablecloth while sitting against a pink background.,assemble five legos on a blue tablecloth while sitting against a pink background.,,,assemble_disassemble_legos,assemble,legos,assemble,test,assemble_disassemble_legos,reversible,1,Disassemble five legos on a blue tablecloth while sitting against a pink background.,,sitting,pink,2
test/assemble_disassemble_legos/36,EgoDex,EgoDex,task-instruction,Disassemble six legos on a blue tablecloth while sitting against a pink background.,disassemble six legos on a blue tablecloth while sitting against a pink background.,,,assemble_disassemble_legos,disassemble,legos,disassemble,test,assemble_disassemble_legos,reversible,2,Assemble six legos on a blue tablecloth while sitting against a pink background.,,sitting,pink,2
test/assemble_disassemble_legos/7,EgoDex,EgoDex,task-instruction,Disassemble six legos on a blue tablecloth while sitting against a pink background.,disassemble six legos on a blue tablecloth while sitting against a pink background.,,,assemble_disassemble_legos,disassemble,legos,disassemble,test,assemble_disassemble_legos,reversible,2,Assemble six legos on a blue tablecloth while sitting against a pink background.,,sitting,pink,2
test/assemble_disassemble_soft_legos/6,EgoDex,EgoDex,task-instruction,Disassemble the soft lego tower back into individual pieces on a white background while sitting.,disassemble the soft lego tower back into individual pieces on a white background while sitting.,,,assemble_disassemble_soft_legos,disassemble,soft legos,disassemble,test,assemble_disassemble_soft_legos,reversible,2,Assemble soft legos into a tower on a white background while sitting.,,sitting,white,1
