ann_id,work,source_dataset,annotation_type,text,text_clean,t_start,t_end,clip_id,verb,noun,split,participant_id,verb_key,noun_key,verb_category,noun_category,hands,n_verbs,n_nouns,seg_dur_s
P01-20240203-121517-12,HD-EPIC,HD-EPIC,clip-narration, Close the tap.,close the tap.,25.15,25.75,P01-20240203-121517,close,tap,full,P01,close,tap,block,appliances,,1,1,0.6
P01-20240203-123350-101,HD-EPIC,HD-EPIC,clip-narration,"Insert the bowl covered with towels inside the oven, sliding it in. Notice that the oven is actually switched off. This is just to leave the dough in a relatively warm place during proofing.","insert the bowl covered with towels inside the oven, sliding it in. notice that the oven is actually switched off. this is just to leave the dough in a relatively warm place during proofing.",436.27,437.95,P01-20240203-123350,insert,bowl,full,P01,insert,bowl,leave,crockery,,3,6,1.68
P01-20240203-123350-297,HD-EPIC,HD-EPIC,clip-narration,pick up the wooden spoon from the pan. The wooden spoon has been covered by minced meat. So taking it up from under the minced meat that had been dropped onto the pan.,pick up the wooden spoon from the pan. the wooden spoon has been covered by minced meat. so taking it up from under the minced meat that had been dropped onto the pan.,979.11,979.94,P01-20240203-123350,pick up,wooden spoon,full,P01,take,spoon,retrieve,cutlery,,2,3,0.83
P01-20240203-123350-64,HD-EPIC,HD-EPIC,clip-narration,Open the tap.,open the tap.,332.8,333.15,P01-20240203-123350,open,tap,full,P01,open,tap,access,appliances,,1,1,0.35
P01-20240203-130505-276,HD-EPIC,HD-EPIC,clip-narration,Turn the carrot around.,turn the carrot around.,588.15,588.56,P01-20240203-130505,turn,carrot,full,P01,turn,carrot,manipulate,vegetables,,1,1,0.41
P01-20240203-130505-307,HD-EPIC,HD-EPIC,clip-narration,open the lid of the food waste bin.,open the lid of the food waste bin.,628.26,628.77,P01-20240203-130505,open,lid of food waste bin,full,P01,open,lid,access,containers,,1,1,0.51
P01-20240203-132119-132,HD-EPIC,HD-EPIC,clip-narration,Close the tap.,close the tap.,351.02,351.32,P01-20240203-132119,close,tap,full,P01,close,tap,block,appliances,,1,1,0.3
P01-20240203-132119-164,HD-EPIC,HD-EPIC,clip-narration,Open the tap.,open the tap.,399.1,399.65,P01-20240203-132119,open,tap,full,P01,open,tap,access,appliances,,1,1,0.55
P01-20240203-132119-268,HD-EPIC,HD-EPIC,clip-narration,"remove the cover of the food processor by holding the cover with the left hand, holding the bowl of the food processor with the right hand from its handle and rotating the cover with a bit of force counterclockwise to remove it.","remove the cover of the food processor by holding the cover with the left hand, holding the bowl of the food processor with the right hand from its handle and rotating the cover with a bit of force counterclockwise to remove it.",615.63,616.33,P01-20240203-132119,remove,cover of food processor,full,P01,remove,food,retrieve,prepared food,"left hand, right hand",3,5,0.7
P01-20240203-132119-438,HD-EPIC,HD-EPIC,clip-narration,Pick up the blade from the countertop.,pick up the blade from the countertop.,1054.64,1055.04,P01-20240203-132119,pick up,blade,full,P01,take,knife,retrieve,cutlery,,1,2,0.4
P01-20240203-132119-457,HD-EPIC,HD-EPIC,clip-narration,Hold the lid from shaking with the left index.,hold the lid from shaking with the left index.,1086.94,1104.6,P01-20240203-132119,hold,lid,full,P01,shake,hand,manipulate,hand,,2,2,17.66
P01-20240203-135502-327,HD-EPIC,HD-EPIC,clip-narration,Move the yogurt from the second shelf to the top shelf.,move the yogurt from the second shelf to the top shelf.,1081.42,1083.98,P01-20240203-135502,move,yogurt,full,P01,move,yoghurt,transition,dairy and eggs,,1,3,2.56
P01-20240203-135502-559,HD-EPIC,HD-EPIC,clip-narration,Try to shape the dough into a ball by pulling its ends and putting them at the bottom of the dough.,try to shape the dough into a ball by pulling its ends and putting them at the bottom of the dough.,1730.52,1735.66,P01-20240203-135502,shape,dough,full,P01,form,dough,manipulate,baked goods and grains,,3,4,5.14
P01-20240203-135502-572,HD-EPIC,HD-EPIC,clip-narration,Open the tap.,open the tap.,1776.57,1777.18,P01-20240203-135502,open,tap,full,P01,open,tap,access,appliances,,1,1,0.61
P01-20240203-135502-589,HD-EPIC,HD-EPIC,clip-narration,pick meat from the pan by pinching it with the right hand.,pick meat from the pan by pinching it with the right hand.,1820.8,1821.29,P01-20240203-135502,pick,meat,full,P01,take,meat,retrieve,meat and substitute,right hand,2,2,0.49
P01-20240203-135502-656,HD-EPIC,HD-EPIC,clip-narration,Hold the handle of the spoon using the left hand and pass the fingers of the right hand around the spoon surface to gather the remaining meat that is stuck on the surface of the spoon. To add this to the topping.,hold the handle of the spoon using the left hand and pass the fingers of the right hand around the spoon surface to gather the remaining meat that is stuck on the surface of the spoon. to add this to the topping.,1962.87,1963.91,P01-20240203-135502,hold,handle of spoon,full,P01,add,meat,merge,meat and substitute,left hand,4,5,1.04
P01-20240203-135502-702,HD-EPIC,HD-EPIC,clip-narration,"Hold the pot's handle with the left hand, move the blender in the pot and again dip it inside the pot then press the power button in and press the blender into the pot blending the part of the pot that is under the blender Then turn the blender off as you pull it up.","hold the pot's handle with the left hand, move the blender in the pot and again dip it inside the pot then press the power button in and press the blender into the pot blending the part of the pot that is under the blender then turn the blender off as you pull it up.",2057.471,2059.96059,P01-20240203-135502,hold,pot's handle,full,P01,move,blender,transition,appliances,left hand,7,5,2.49
P01-20240203-135502-756,HD-EPIC,HD-EPIC,clip-narration,"Put the teaspoon in the sink by placing it inside the soaked pan in the sink, discarding it after it's been used for tasting the soup.","put the teaspoon in the sink by placing it inside the soaked pan in the sink, discarding it after it's been used for tasting the soup.",2253.0,2254.38,P01-20240203-135502,put,teaspoon,full,P01,put,spoon,leave,cutlery,,4,4,1.38
P01-20240203-135502-759,HD-EPIC,HD-EPIC,clip-narration,Turn off the blender by releasing the power button.,turn off the blender by releasing the power button.,2264.4,2265.1,P01-20240203-135502,turn off,blender,full,P01,turn-off,blender,block,appliances,,2,2,0.7
P01-20240203-135502-846,HD-EPIC,HD-EPIC,clip-narration,Rest the ladle on the pot.,rest the ladle on the pot.,2496.95,2499.52,P01-20240203-135502,rest,ladle,full,P01,put,ladle,leave,utensils,,1,2,2.57
P01-20240203-150506-150,HD-EPIC,HD-EPIC,clip-narration,pick up the sponge,pick up the sponge,218.31,219.1,P01-20240203-150506,pick up,sponge,full,P01,take,sponge,retrieve,cleaning equipment and material,,1,1,0.79
P01-20240203-150506-164,HD-EPIC,HD-EPIC,clip-narration,pick up the pan from the sink using the right hand.,pick up the pan from the sink using the right hand.,242.37,243.87,P01-20240203-150506,pick up,pan,full,P01,take,pan,retrieve,cookware,right hand,1,2,1.5
P01-20240203-150506-183,HD-EPIC,HD-EPIC,clip-narration,"Put the chopping board on the lower drawer of the dishwasher, pushing it in place because of limited space.","put the chopping board on the lower drawer of the dishwasher, pushing it in place because of limited space.",290.79,293.62,P01-20240203-150506,put,chopping board,full,P01,put,board:chopping,leave,utensils,,2,3,2.83
P01-20240203-150506-195,HD-EPIC,HD-EPIC,clip-narration,lather the spoon.,lather the spoon.,316.86,317.24,P01-20240203-150506,lather,spoon,full,P01,wash,spoon,clean,cutlery,,1,1,0.38
P01-20240203-150506-329,HD-EPIC,HD-EPIC,clip-narration,Put the pot in the sink with the spoon resting inside it.,put the pot in the sink with the spoon resting inside it.,613.4,614.49,P01-20240203-150506,put,pot,full,P01,put,pot,leave,cookware,,1,3,1.09
P01-20240203-152323-41,HD-EPIC,HD-EPIC,clip-narration, Place the sixth pie on the serving plate on top of other pies as the plate is now full.,place the sixth pie on the serving plate on top of other pies as the plate is now full.,94.3,95.34,P01-20240203-152323,place,sixth pie,full,P01,put,pie,leave,baked goods and grains,,1,4,1.04
P01-20240203-152956-16,HD-EPIC,HD-EPIC,clip-narration,"put the pie on the plate, piling it on top of other pies.","put the pie on the plate, piling it on top of other pies.",47.32,48.61,P01-20240203-152956,put,pie,full,P01,put,pie,leave,baked goods and grains,,2,3,1.29
P01-20240203-184214-18,HD-EPIC,HD-EPIC,clip-narration,pick up the uncovered container using both hands.,pick up the uncovered container using both hands.,31.7,32.3,P01-20240203-184214,pick up,uncovered container,full,P01,take,container,retrieve,containers,both hands,1,1,0.6
P01-20240203-184214-186,HD-EPIC,HD-EPIC,clip-narration,"Pick up another jar of spice from the lower shelf of the cupboard from behind other jars by inserting the hand in, holding the jar from top and lifting it above the other jars.","pick up another jar of spice from the lower shelf of the cupboard from behind other jars by inserting the hand in, holding the jar from top and lifting it above the other jars.",452.91,453.95,P01-20240203-184214,pick up,another jar of spice,full,P01,take,jar,retrieve,containers,,4,4,1.04
P01-20240203-184214-270,HD-EPIC,HD-EPIC,clip-narration,Open the fridge's door.,open the fridge's door.,705.14,706.82,P01-20240203-184214,open,fridge's door,full,P01,open,cupboard,access,storage,,1,1,1.68
P01-20240203-184214-357,HD-EPIC,HD-EPIC,clip-narration,Open the first drawer.,open the first drawer.,876.64,877.74,P01-20240203-184214,open,first drawer,full,P01,open,drawer,access,furniture,,1,1,1.1
P01-20240203-184214-459,HD-EPIC,HD-EPIC,clip-narration,Start rinsing the food processor bowl.,start rinsing the food processor bowl.,1037.3,1038.26,P01-20240203-184214,rinse,food processor bowl,full,P01,wash,bowl,clean,crockery,,1,1,0.96
P01-20240203-184214-505,HD-EPIC,HD-EPIC,clip-narration,Close the tap.,close the tap.,1123.29,1123.67,P01-20240203-184214,close,tap,full,P01,close,tap,block,appliances,,1,1,0.38
P01-20240203-184214-91,HD-EPIC,HD-EPIC,clip-narration,Close the fridge's door.,close the fridge's door.,197.89,199.92,P01-20240203-184214,close,fridge's door,full,P01,close,cupboard,block,storage,,1,1,2.03
P01-20240204-095114-48,HD-EPIC,HD-EPIC,clip-narration,put the cereal on the upper shelf on top of the sink using the right hand sliding it in,put the cereal on the upper shelf on top of the sink using the right hand sliding it in,84.28,85.69,P01-20240204-095114,put,cereal,full,P01,put,cereal,leave,baked goods and grains,right hand,2,3,1.41
P01-20240204-095114-60,HD-EPIC,HD-EPIC,clip-narration,carefully allow the remaining frothed milk to be poured on the mug which is nearly filled by only very slowly tilting the milk frother,carefully allow the remaining frothed milk to be poured on the mug which is nearly filled by only very slowly tilting the milk frother,121.68,130.84,P01-20240204-095114,tilt,remaining frothed milk,full,P01,lift,milk,retrieve,dairy and eggs,,1,3,9.16
P01-20240204-121042-124,HD-EPIC,HD-EPIC,clip-narration,break the date into two halves,break the date into two halves,227.8,228.95,P01-20240204-121042,break,date,full,P01,break,alarm,split,appliances,,1,2,1.15
P01-20240204-121042-186,HD-EPIC,HD-EPIC,clip-narration,put the pitted date back into the same bowl,put the pitted date back into the same bowl,338.88,339.82,P01-20240204-121042,put,pitted date,full,P01,put,pith,leave,rubbish,,1,2,0.94
P01-20240204-121042-305,HD-EPIC,HD-EPIC,clip-narration,pick the second packet of biscuits from the big packaging holding the packaging with the left hand and pulling this plastic packaging using the right hand,pick the second packet of biscuits from the big packaging holding the packaging with the left hand and pulling this plastic packaging using the right hand,621.08,621.89,P01-20240204-121042,pick,second packet of biscuits,full,P01,take,package,retrieve,containers,"left hand, right hand",3,4,0.81
P01-20240204-121042-348,HD-EPIC,HD-EPIC,clip-narration,put the lid on the countertop,put the lid on the countertop,735.96,736.66,P01-20240204-121042,put,lid,full,P01,put,lid,leave,containers,,1,2,0.7
P01-20240204-121042-417,HD-EPIC,HD-EPIC,clip-narration,put down the sponge,put down the sponge,887.95,888.37,P01-20240204-121042,put down,sponge,full,P01,put,sponge,leave,cleaning equipment and material,,1,1,0.42
P01-20240204-121042-420,HD-EPIC,HD-EPIC,clip-narration,close the tap,close the tap,892.79,893.14,P01-20240204-121042,close,tap,full,P01,close,tap,block,appliances,,1,1,0.35
P01-20240204-121042-530,HD-EPIC,HD-EPIC,clip-narration,take the right glove off,take the right glove off,1113.82,1114.27,P01-20240204-121042,take off,right glove,full,P01,remove,glove,retrieve,materials,,1,1,0.45
P01-20240204-121042-621,HD-EPIC,HD-EPIC,clip-narration,put down the plastic bowl on the countertop,put down the plastic bowl on the countertop,1347.95,1348.21,P01-20240204-121042,put down,plastic bowl,full,P01,put,bowl,leave,crockery,,1,2,0.26
P01-20240204-121042-632,HD-EPIC,HD-EPIC,clip-narration,hold the spatula that has been resting inside the bowl,hold the spatula that has been resting inside the bowl,1366.43,1366.8,P01-20240204-121042,hold,spatula,full,P01,hold,spatula,manipulate,utensils,,1,2,0.37
P01-20240204-121042-73,HD-EPIC,HD-EPIC,clip-narration,remove the pit,remove the pit,172.15,172.44,P01-20240204-121042,remove,pit,full,P01,remove,seed,retrieve,fruits and nuts,,1,1,0.29
P01-20240204-124504-2,HD-EPIC,HD-EPIC,clip-narration,"Continue stirring the content of the bowl, the mixture, by using the spatula, breaking it in pieces and turning it around.","continue stirring the content of the bowl, the mixture, by using the spatula, breaking it in pieces and turning it around.",4.83,11.07,P01-20240204-124504,stir,content of bowl,full,P01,mix,bowl,merge,crockery,,3,4,6.24
P01-20240204-142301-525,HD-EPIC,HD-EPIC,clip-narration,Turn on the food processor by turning the dial clockwise using the left hand.,turn on the food processor by turning the dial clockwise using the left hand.,1505.87,1506.32,P01-20240204-142301,turn on,food processor,full,P01,turn-on,food,access,prepared food,left hand,2,2,0.45
P01-20240204-142301-643,HD-EPIC,HD-EPIC,clip-narration,Turn the strainer upright and continue rinsing it.,turn the strainer upright and continue rinsing it.,1798.89,1803.66,P01-20240204-142301,turn,strainer,full,P01,turn,colander,manipulate,utensils,,2,1,4.77
P01-20240204-142301-661,HD-EPIC,HD-EPIC,clip-narration,put the sponge down.,put the sponge down.,1831.43,1831.81,P01-20240204-142301,put down,sponge,full,P01,put,sponge,leave,cleaning equipment and material,,1,1,0.38
P01-20240204-145458-249,HD-EPIC,HD-EPIC,clip-narration,Uncover the pot by lifting the lid with the right hand slightly.,uncover the pot by lifting the lid with the right hand slightly.,650.29,651.2,P01-20240204-145458,uncover,pot,full,P01,uncover,pot,access,cookware,right hand,2,2,0.91
P01-20240204-145458-347,HD-EPIC,HD-EPIC,clip-narration,Rinse the knife and the spatula that are being held using the left hand.,rinse the knife and the spatula that are being held using the left hand.,817.25,821.69,P01-20240204-145458,rinse,knife,full,P01,wash,knife,clean,cutlery,left hand,1,2,4.44
P01-20240204-152537-104,HD-EPIC,HD-EPIC,clip-narration,fold the cloth further,fold the cloth further,258.32,259.05,P01-20240204-152537,fold,cloth,full,P01,fold,cloth,order,cleaning equipment and material,,1,1,0.73
P01-20240204-160230-49,HD-EPIC,HD-EPIC,clip-narration,Pick one chicken leg that has been roasted and cooked from the tray using the plastic spoon by sliding the spoon under it and lifting it up.,pick one chicken leg that has been roasted and cooked from the tray using the plastic spoon by sliding the spoon under it and lifting it up.,112.25,114.48,P01-20240204-160230,pick,one chicken leg,full,P01,take,chicken,retrieve,meat and substitute,,3,4,2.23
P02-20240209-184316-1069,HD-EPIC,HD-EPIC,clip-narration,pull up the left arm sleeve with the right hand as it fallen too low,pull up the left arm sleeve with the right hand as it fallen too low,1585.77,1586.52,P02-20240209-184316,pull up,left arm sleeve,full,P02,pull,clothes,manipulate,materials,right hand,1,1,0.75
P02-20240209-184316-1071,HD-EPIC,HD-EPIC,clip-narration,pick up the paring knife to clean up some of the countertop.,pick up the paring knife to clean up some of the countertop.,1587.73,1587.99,P02-20240209-184316,pick up,paring knife,full,P02,take,knife,retrieve,cutlery,,2,2,0.26
P02-20240209-184316-111,HD-EPIC,HD-EPIC,clip-narration,move one quarter of the tomato higher up on the cutting board to get more space.,move one quarter of the tomato higher up on the cutting board to get more space.,116.0,116.81,P02-20240209-184316,move,one quarter of tomato,full,P02,move,tomato,transition,vegetables,,2,3,0.81
P02-20240209-184316-243,HD-EPIC,HD-EPIC,clip-narration,Cut the tomato half into quarters using the paring knife in the right hand.,cut the tomato half into quarters using the paring knife in the right hand.,322.37,325.29,P02-20240209-184316,cut,tomato,full,P02,cut,tomato,split,vegetables,right hand,1,3,2.92
P02-20240209-184316-340,HD-EPIC,HD-EPIC,clip-narration,"using the right hand, pick up the food waste bin to put the garlic skin in.","using the right hand, pick up the food waste bin to put the garlic skin in.",486.43,487.93,P02-20240209-184316,pick up,food waste bin,full,P02,take,bin,retrieve,rubbish,right hand,2,2,1.5
P02-20240209-184316-394,HD-EPIC,HD-EPIC,clip-narration,"Using the left hand, peel away the onion skin.","using the left hand, peel away the onion skin.",555.94,558.99,P02-20240209-184316,peel,onion skin,full,P02,peel,onion,split,vegetables,left hand,1,1,3.05
P02-20240209-184316-526,HD-EPIC,HD-EPIC,clip-narration,place the galic clove into the frying pan with the left hand.,place the galic clove into the frying pan with the left hand.,707.6,707.85,P02-20240209-184316,place,galic clove,full,P02,put,garlic,leave,vegetables,left hand,1,2,0.25
P02-20240209-184316-641,HD-EPIC,HD-EPIC,clip-narration,Place the kitchen towel onto the countertop.,place the kitchen towel onto the countertop.,859.93,860.49,P02-20240209-184316,place,kitchen towel,full,P02,put,towel,leave,materials,,1,2,0.56
P02-20240209-184316-734,HD-EPIC,HD-EPIC,clip-narration,Pick up the chef's knife to scrape the potatoes into the frying pan.,pick up the chef's knife to scrape the potatoes into the frying pan.,1000.89,1001.79,P02-20240209-184316,pick up,chef's knife,full,P02,take,knife,retrieve,cutlery,,2,3,0.9
P02-20240209-184316-920,HD-EPIC,HD-EPIC,clip-narration,place the scissors in the right hand inside back inside the drawer,place the scissors in the right hand inside back inside the drawer,1298.12,1298.85,P02-20240209-184316,place,scissors,full,P02,put,scissors,leave,utensils,right hand,1,3,0.73
P02-20240209-194141-210,HD-EPIC,HD-EPIC,clip-narration,Clean and wash the spoon using the sponge in the right hand whilst holding it in the left hand.,clean and wash the spoon using the sponge in the right hand whilst holding it in the left hand.,374.22,376.82,P02-20240209-194141,clean,spoon,full,P02,wash,spoon,clean,cutlery,"right hand, left hand",3,2,2.6
P02-20240209-194141-334,HD-EPIC,HD-EPIC,clip-narration,Submerge and rinse the sponge into the hot soapy water in the sink.,submerge and rinse the sponge into the hot soapy water in the sink.,656.17,657.63,P02-20240209-194141,submerge,sponge,full,P02,soak,sponge,clean,cleaning equipment and material,,2,3,1.46
P02-20240209-194141-409,HD-EPIC,HD-EPIC,clip-narration,Squeeze out the sponge in the right hand.,squeeze out the sponge in the right hand.,813.2,814.02,P02-20240209-194141,squeeze out,sponge,full,P02,squeeze,sponge,manipulate,cleaning equipment and material,right hand,1,1,0.82
P02-20240210-100308-130,HD-EPIC,HD-EPIC,clip-narration,Open up the yellow drawer.,open up the yellow drawer.,200.45,201.04,P02-20240210-100308,open up,yellow drawer,full,P02,open,drawer,access,furniture,,1,1,0.59
P02-20240210-100308-84,HD-EPIC,HD-EPIC,clip-narration,reach up to grab the mushrooms,reach up to grab the mushrooms,141.48,142.98,P02-20240210-100308,reach up,mushrooms,full,P02,take,mushroom,retrieve,vegetables,,2,1,1.5
P02-20240210-113925-107,HD-EPIC,HD-EPIC,clip-narration,Shake the packet of smoked bacon medallions with the right hand so that the bacon is at the other side of the packet away from the opening.,shake the packet of smoked bacon medallions with the right hand so that the bacon is at the other side of the packet away from the opening.,170.26,170.76,P02-20240210-113925,shake,packet of smoked bacon medallions,full,P02,shake,package,manipulate,containers,right hand,1,5,0.5
P02-20240210-113925-390,HD-EPIC,HD-EPIC,clip-narration,Pick up the lid of butter using the left hand as the butter is finished with.,pick up the lid of butter using the left hand as the butter is finished with.,622.6,623.28,P02-20240210-113925,pick up,lid of butter,full,P02,take,lid,retrieve,containers,left hand,1,2,0.68
P02-20240210-113925-50,HD-EPIC,HD-EPIC,clip-narration,pull up both sleeves using the opposite hands,pull up both sleeves using the opposite hands,76.21000000000001,77.28999999999999,P02-20240210-113925,pull up,sleeves,full,P02,pull,clothes,manipulate,materials,,1,1,1.08
P02-20240210-195833-114,HD-EPIC,HD-EPIC,clip-narration,Turn the tap to increase the flow of water to speed up filling up the glass.,turn the tap to increase the flow of water to speed up filling up the glass.,169.79,171.34,P02-20240210-195833,turn,tap,full,P02,turn,tap,manipulate,appliances,,4,3,1.55
P02-20240210-195833-144,HD-EPIC,HD-EPIC,clip-narration,place the drain protector into the middle of the sink using the right hand,place the drain protector into the middle of the sink using the right hand,210.75,211.33,P02-20240210-195833,place,drain protector,full,P02,put,sink,leave,furniture,right hand,1,2,0.58
P02-20240211-111219-57,HD-EPIC,HD-EPIC,clip-narration,place the washing up liquid bottle down under the side of the sink,place the washing up liquid bottle down under the side of the sink,79.18,79.97,P02-20240211-111219,place,washing up liquid bottle,full,P02,put,bottle,leave,containers,,1,2,0.79
P02-20240211-111822-193,HD-EPIC,HD-EPIC,clip-narration,Pick up the punnet of raspberries using the left hand.,pick up the punnet of raspberries using the left hand.,422.52,422.81,P02-20240211-111822,pick up,punnet of raspberries,full,P02,take,package,retrieve,containers,left hand,1,1,0.29
P02-20240211-111822-312,HD-EPIC,HD-EPIC,clip-narration,place the hand blender cup near the plug for the hand blender,place the hand blender cup near the plug for the hand blender,716.55,717.03,P02-20240211-111822,place,hand blender cup,full,P02,put,cup,leave,crockery,,1,3,0.48
P02-20240211-111822-38,HD-EPIC,HD-EPIC,clip-narration,Check the hand blender attachment to make sure it's clean.,check the hand blender attachment to make sure it's clean.,59.09,59.44,P02-20240211-111822,check,hand blender attachment,full,P02,check,blender,monitor,appliances,,1,1,0.35
P02-20240211-111822-385,HD-EPIC,HD-EPIC,clip-narration,Fold up the packet across the butter to close it.,fold up the packet across the butter to close it.,866.41,867.33,P02-20240211-111822,fold up,packet,full,P02,fold,package,order,containers,,2,2,0.92
P02-20240211-111822-47,HD-EPIC,HD-EPIC,clip-narration,Grab hold of the end of the hand blender attachment using the left hand.,grab hold of the end of the hand blender attachment using the left hand.,69.46000000000001,70.95,P02-20240211-111822,grab,hold of end of hand blender attachment,full,P02,take,blender,retrieve,appliances,left hand,1,1,1.49
P02-20240211-111822-510,HD-EPIC,HD-EPIC,clip-narration,Transfer the sugar container from both hands into the left hand.,transfer the sugar container from both hands into the left hand.,1061.79,1062.09,P02-20240211-111822,transfer,sugar container,full,P02,move,container,transition,containers,"both hands, left hand",1,1,0.3
P02-20240211-111822-757,HD-EPIC,HD-EPIC,clip-narration,Pick out a butter knife using the right hand.,pick out a butter knife using the right hand.,1558.89,1559.33,P02-20240211-111822,pick out,butter knife,full,P02,remove,knife,retrieve,cutlery,right hand,1,1,0.44
P02-20240211-111822-796,HD-EPIC,HD-EPIC,clip-narration,Place the teaspoon into the washing up bowl using the right hand.,place the teaspoon into the washing up bowl using the right hand.,1615.59,1616.0,P02-20240211-111822,place,teaspoon,full,P02,put,spoon,leave,cutlery,right hand,1,2,0.41
P02-20240211-111822-921,HD-EPIC,HD-EPIC,clip-narration,Stir the raspberry and lemon curd mixture using the large plastic spoon in the right hand whilst holding onto the large mixing bowl using the left hand.,stir the raspberry and lemon curd mixture using the large plastic spoon in the right hand whilst holding onto the large mixing bowl using the left hand.,1961.15,1965.89,P02-20240211-111822,stir,raspberry,full,P02,mix,raspberry,merge,fruits and nuts,"right hand, left hand",2,4,4.74
P02-20240211-111822-94,HD-EPIC,HD-EPIC,clip-narration,"Place both punnets of raspberries down onto the countertop, to the left of the recipe book, using the left hand.","place both punnets of raspberries down onto the countertop, to the left of the recipe book, using the left hand.",142.57,143.09,P02-20240211-111822,place,punnets of raspberries,full,P02,put,raspberry,leave,fruits and nuts,left hand,1,3,0.52
P02-20240211-115653-217,HD-EPIC,HD-EPIC,clip-narration,Place the rolling pin on the other side of the edge of puff pastry using both hands.,place the rolling pin on the other side of the edge of puff pastry using both hands.,461.04,461.37,P02-20240211-115653,place,rolling pin,full,P02,put,pin:rolling,leave,utensils,both hands,1,2,0.33
P02-20240211-115653-256,HD-EPIC,HD-EPIC,clip-narration,Lift up the small extra cheese straw using the left hand to place it above on the countertop.,lift up the small extra cheese straw using the left hand to place it above on the countertop.,555.45,556.2,P02-20240211-115653,lift up,small extra cheese straw,full,P02,lift,straw,retrieve,utensils,left hand,2,2,0.75
P02-20240211-115653-279,HD-EPIC,HD-EPIC,clip-narration,Wash and rinse both hands in the sink.,wash and rinse both hands in the sink.,623.58,626.39,P02-20240211-115653,wash,sink,full,P02,wash,hand,clean,hand,both hands,2,1,2.81
P02-20240211-115653-84,HD-EPIC,HD-EPIC,clip-narration,Wash hands under the hot water to remove any cheese from them.,wash hands under the hot water to remove any cheese from them.,193.19,195.28,P02-20240211-115653,wash,hot water,full,P02,wash,hand,clean,hand,,2,2,2.09
