ann_id,annotation_type,stream,text,text_zh,t_start,t_end,clip_id,verb,noun,verb_category,work,source_dataset,split,text_clean,seg_dur_s
prim:scene_01__A001++seq__99369773ed8032d1e35d__2023-04-27-20-48-38:2,atomic-substep,primitive_task,Grip the content with the tongs from the plate to another plate.,用夹子将内容从碟子夹到另一个碟子。,23.7,58.858,scene_01__A001++seq__99369773ed8032d1e35d__2023-04-27-20-48-38,grip,content,retrieve,OakInk2,OakInk2,full,grip the content with the tongs from the plate to another plate.,35.158
prim:scene_01__A001++seq__ac79435402cf22f24550__2023-04-27-19-32-20:8,atomic-substep,primitive_task,Close the gate of the microwave oven.,关闭微波炉门。,82.817,88.392,scene_01__A001++seq__ac79435402cf22f24550__2023-04-27-19-32-20,close,gate,access,OakInk2,OakInk2,full,close the gate of the microwave oven.,5.575
prim:scene_01__A001++seq__ad92412aedb8d5b1086e__2023-04-27-20-34-16:1,atomic-substep,primitive_task,Rearrange the white fruit knife from one position to another position.,将白色水果刀从一个位置移动到另一个位置。,32.4,39.842,scene_01__A001++seq__ad92412aedb8d5b1086e__2023-04-27-20-34-16,rearrange,knife,manipulate,OakInk2,OakInk2,full,rearrange the white fruit knife from one position to another position.,7.442
prim:scene_01__A001++seq__c3e9947ed401e54181b6__2023-04-27-20-27-08:0,atomic-substep,primitive_task,Scoop the content with the spoon from the bowl to the plate.,用调羹将内容从碗舀到碟子。,9.733,53.833,scene_01__A001++seq__c3e9947ed401e54181b6__2023-04-27-20-27-08,scoop,content,retrieve,OakInk2,OakInk2,full,scoop the content with the spoon from the bowl to the plate.,44.1
prim:scene_01__A001++seq__ceefa2162ca2e9612ecb__2023-04-27-19-11-22:0,atomic-substep,primitive_task,Scrape the content with the spoon from the plate to the tall blue mug.,用调羹将内容从碟子刮到较高的蓝色马克杯。,11.575,63.217,scene_01__A001++seq__ceefa2162ca2e9612ecb__2023-04-27-19-11-22,scrape,content,manipulate,OakInk2,OakInk2,full,scrape the content with the spoon from the plate to the tall blue mug.,51.642
prim:scene_01__A001++seq__ecc3863cc1ba2c56f766__2023-04-27-20-14-39:1,atomic-substep,primitive_task,Spread the sauce on the plate with the spoon.,用调羹在碟子上涂抹酱汁。,44.608,66.925,scene_01__A001++seq__ecc3863cc1ba2c56f766__2023-04-27-20-14-39,spread,sauce,distribute,OakInk2,OakInk2,full,spread the sauce on the plate with the spoon.,22.317
prim:scene_01__A003++seq__01857017aef944761b78__2023-04-21-19-28-11:1,atomic-substep,primitive_task,Place the plate inside the microwave oven.,将碟子放入微波炉。,22.333,37.175,scene_01__A003++seq__01857017aef944761b78__2023-04-21-19-28-11,place,plate,leave,OakInk2,OakInk2,full,place the plate inside the microwave oven.,14.842
prim:scene_01__A003++seq__01857017aef944761b78__2023-04-21-19-28-11:13,atomic-substep,primitive_task,Rearrange the fork and the spoon from one position to another position.,将叉子和调羹从一个位置移动到另一个位置。,147.942,155.475,scene_01__A003++seq__01857017aef944761b78__2023-04-21-19-28-11,rearrange,fork,manipulate,OakInk2,OakInk2,full,rearrange the fork and the spoon from one position to another position.,7.533
prim:scene_01__A003++seq__05d45aca8ef08285afa5__2023-04-18-10-22-08:2,atomic-substep,primitive_task,Close the gate of the microwave oven.,关闭微波炉门。,34.442,41.15,scene_01__A003++seq__05d45aca8ef08285afa5__2023-04-18-10-22-08,close,gate,access,OakInk2,OakInk2,full,close the gate of the microwave oven.,6.708
prim:scene_01__A003++seq__0a5ecad7fcf381a6d0a7__2023-04-16-11-15-40:2,atomic-substep,primitive_task,Rearrange the fork from one position to another position.,将叉子从一个位置移动到另一个位置。,45.333,53.633,scene_01__A003++seq__0a5ecad7fcf381a6d0a7__2023-04-16-11-15-40,rearrange,fork,manipulate,OakInk2,OakInk2,full,rearrange the fork from one position to another position.,8.3
prim:scene_01__A003++seq__0b3a0a3dba029a07ad90__2023-04-21-19-16-37:5,atomic-substep,primitive_task,Place the apple inside the plate.,将苹果放入碟子。,62.225,69.475,scene_01__A003++seq__0b3a0a3dba029a07ad90__2023-04-21-19-16-37,place,apple,leave,OakInk2,OakInk2,full,place the apple inside the plate.,7.25
prim:scene_01__A003++seq__0b3a0a3dba029a07ad90__2023-04-21-19-16-37:6,atomic-substep,primitive_task,Pour the salt from the little green cup to the plate.,将盐从绿色小茶杯倒到碟子。,75.183,90.233,scene_01__A003++seq__0b3a0a3dba029a07ad90__2023-04-21-19-16-37,pour,salt,merge,OakInk2,OakInk2,full,pour the salt from the little green cup to the plate.,15.05
prim:scene_01__A003++seq__0b3a0a3dba029a07ad90__2023-04-21-19-16-37:7,atomic-substep,primitive_task,Scoop the salad sauces with the spoon from the yellow mug to another yellow mug.,用调羹将沙拉酱从黄色马克杯舀到另一个黄色马克杯。,84.6,124.658,scene_01__A003++seq__0b3a0a3dba029a07ad90__2023-04-21-19-16-37,scoop,sauces,retrieve,OakInk2,OakInk2,full,scoop the salad sauces with the spoon from the yellow mug to another yellow mug.,40.058
prim:scene_01__A003++seq__0b3a0a3dba029a07ad90__2023-04-21-19-16-37:8,atomic-substep,primitive_task,Rearrange the plate from one position to another position.,将碟子从一个位置移动到另一个位置。,126.058,127.875,scene_01__A003++seq__0b3a0a3dba029a07ad90__2023-04-21-19-16-37,rearrange,plate,manipulate,OakInk2,OakInk2,full,rearrange the plate from one position to another position.,1.817
prim:scene_01__A003++seq__11da49b9d19c55c9d954__2023-04-16-10-14-38:2,atomic-substep,primitive_task,Rearrange the apple from one position to another position.,将苹果从一个位置移动到另一个位置。,56.325,63.133,scene_01__A003++seq__11da49b9d19c55c9d954__2023-04-16-10-14-38,rearrange,apple,manipulate,OakInk2,OakInk2,full,rearrange the apple from one position to another position.,6.808
prim:scene_01__A003++seq__19c9ac415d6e7db1776f__2023-04-16-09-46-46:1,atomic-substep,primitive_task,Stir in the bowl with the spoon.,用调羹在碗中搅拌。,42.583,83.783,scene_01__A003++seq__19c9ac415d6e7db1776f__2023-04-16-09-46-46,stir,spoon,merge,OakInk2,OakInk2,full,stir in the bowl with the spoon.,41.2
prim:scene_01__A003++seq__22db0324e00df1d6d725__2023-04-15-10-10-58:0,atomic-substep,primitive_task,Wipe the plate with the sponge.,用海绵擦碟子。,8.783,33.733,scene_01__A003++seq__22db0324e00df1d6d725__2023-04-15-10-10-58,wipe,plate,clean,OakInk2,OakInk2,full,wipe the plate with the sponge.,24.95
prim:scene_01__A003++seq__24cffaeaadf8a022f376__2023-04-23-18-50-27:6,atomic-substep,primitive_task,Screw the cap onto the large white bottle.,拧紧大的白色瓶的盖子。,86.267,91.275,scene_01__A003++seq__24cffaeaadf8a022f376__2023-04-23-18-50-27,screw,cap,merge,OakInk2,OakInk2,full,screw the cap onto the large white bottle.,5.008
prim:scene_01__A003++seq__27c72072f6a2929fb1fd__2023-04-15-10-58-45:6,atomic-substep,primitive_task,Open the gate of the microwave oven.,打开微波炉门。,109.117,113.217,scene_01__A003++seq__27c72072f6a2929fb1fd__2023-04-15-10-58-45,open,gate,access,OakInk2,OakInk2,full,open the gate of the microwave oven.,4.1
prim:scene_01__A003++seq__27c72072f6a2929fb1fd__2023-04-15-10-58-45:9,atomic-substep,primitive_task,Press the button on the microwave oven.,按下微波炉上的按钮。,132.1,135.9,scene_01__A003++seq__27c72072f6a2929fb1fd__2023-04-15-10-58-45,press,button,access,OakInk2,OakInk2,full,press the button on the microwave oven.,3.8
prim:scene_01__A003++seq__2f774a18a128dafb628a__2023-04-18-09-48-37:0,atomic-substep,primitive_task,Rearrange the plate from one position to another position.,将碟子从一个位置移动到另一个位置。,6.85,12.667,scene_01__A003++seq__2f774a18a128dafb628a__2023-04-18-09-48-37,rearrange,plate,manipulate,OakInk2,OakInk2,full,rearrange the plate from one position to another position.,5.817
prim:scene_01__A003++seq__2f774a18a128dafb628a__2023-04-18-09-48-37:3,atomic-substep,primitive_task,Assemble the donut into the product in the plate.,将甜甜圈在碟子中组装到成品上。,39.05,46.025,scene_01__A003++seq__2f774a18a128dafb628a__2023-04-18-09-48-37,assemble,donut,merge,OakInk2,OakInk2,full,assemble the donut into the product in the plate.,6.975
prim:scene_01__A003++seq__31218648456a55218293__2023-04-15-11-06-48:1,atomic-substep,primitive_task,Assemble the donut together.,将甜甜圈组装在一起。,11.308,14.242,scene_01__A003++seq__31218648456a55218293__2023-04-15-11-06-48,assemble,together,merge,OakInk2,OakInk2,full,assemble the donut together.,2.934
prim:scene_01__A003++seq__31218648456a55218293__2023-04-15-11-06-48:2,atomic-substep,primitive_task,Rearrange the bread from one position to another position.,将面包从一个位置移动到另一个位置。,18.05,28.025,scene_01__A003++seq__31218648456a55218293__2023-04-15-11-06-48,rearrange,bread,manipulate,OakInk2,OakInk2,full,rearrange the bread from one position to another position.,9.975
prim:scene_01__A003++seq__31218648456a55218293__2023-04-15-11-06-48:8,atomic-substep,primitive_task,Open the gate of the microwave oven.,打开微波炉门。,75.175,96.625,scene_01__A003++seq__31218648456a55218293__2023-04-15-11-06-48,open,gate,access,OakInk2,OakInk2,full,open the gate of the microwave oven.,21.45
prim:scene_01__A003++seq__3ae08d6cbcd1458a57fc__2023-04-15-11-18-20:11,atomic-substep,primitive_task,Hold the rod to the position.,用手抓握搅拌棒并保持位置。,124.367,127.708,scene_01__A003++seq__3ae08d6cbcd1458a57fc__2023-04-15-11-18-20,hold,rod,retrieve,OakInk2,OakInk2,full,hold the rod to the position.,3.341
prim:scene_01__A003++seq__3ae08d6cbcd1458a57fc__2023-04-15-11-18-20:2,atomic-substep,primitive_task,Rearrange the green mug from one position to another position.,将绿色马克杯从一个位置移动到另一个位置。,42.442,45.408,scene_01__A003++seq__3ae08d6cbcd1458a57fc__2023-04-15-11-18-20,rearrange,mug,manipulate,OakInk2,OakInk2,full,rearrange the green mug from one position to another position.,2.966
prim:scene_01__A003++seq__3bf15f40d9cd6c9f8b5c__2023-04-21-19-02-57:5,atomic-substep,primitive_task,Cut the apple with the orange cleaver knife.,用橙色菜刀切苹果。,79.8,97.975,scene_01__A003++seq__3bf15f40d9cd6c9f8b5c__2023-04-21-19-02-57,cut,apple,split,OakInk2,OakInk2,full,cut the apple with the orange cleaver knife.,18.175
prim:scene_01__A003++seq__590d0923c75785cbfb33__2023-04-21-20-39-42:0,atomic-substep,primitive_task,Cut the bread with the orange cleaver knife.,用橙色菜刀切面包。,12.517,32.158,scene_01__A003++seq__590d0923c75785cbfb33__2023-04-21-20-39-42,cut,bread,split,OakInk2,OakInk2,full,cut the bread with the orange cleaver knife.,19.641
prim:scene_01__A003++seq__590d0923c75785cbfb33__2023-04-21-20-39-42:19,atomic-substep,primitive_task,Spread the tomato sauce on the bread with the spoon.,用调羹在面包上涂抹番茄酱。,235.633,240.017,scene_01__A003++seq__590d0923c75785cbfb33__2023-04-21-20-39-42,spread,sauce,distribute,OakInk2,OakInk2,full,spread the tomato sauce on the bread with the spoon.,4.384
prim:scene_01__A003++seq__590d0923c75785cbfb33__2023-04-21-20-39-42:21,atomic-substep,primitive_task,Assemble the bread into the product in the plate.,将面包在碟子中组装到成品上。,247.175,250.05,scene_01__A003++seq__590d0923c75785cbfb33__2023-04-21-20-39-42,assemble,bread,merge,OakInk2,OakInk2,full,assemble the bread into the product in the plate.,2.875
prim:scene_01__A003++seq__590d0923c75785cbfb33__2023-04-21-20-39-42:5,atomic-substep,primitive_task,Rearrange the bread from one position to another position.,将面包从一个位置移动到另一个位置。,63.867,66.383,scene_01__A003++seq__590d0923c75785cbfb33__2023-04-21-20-39-42,rearrange,bread,manipulate,OakInk2,OakInk2,full,rearrange the bread from one position to another position.,2.516
prim:scene_01__A003++seq__5a5d66e7a358b59c9fee__2023-04-21-20-23-45:0,atomic-substep,primitive_task,Rearrange the apple from one position to another position.,将苹果从一个位置移动到另一个位置。,14.042,18.05,scene_01__A003++seq__5a5d66e7a358b59c9fee__2023-04-21-20-23-45,rearrange,apple,manipulate,OakInk2,OakInk2,full,rearrange the apple from one position to another position.,4.008
prim:scene_01__A003++seq__5d8f5811e7d146de5fd3__2023-04-16-11-47-54:1,atomic-substep,primitive_task,Rearrange the fork and the white fruit knife from one position to another position.,将叉子和白色水果刀从一个位置移动到另一个位置。,45.275,50.742,scene_01__A003++seq__5d8f5811e7d146de5fd3__2023-04-16-11-47-54,rearrange,fork,manipulate,OakInk2,OakInk2,full,rearrange the fork and the white fruit knife from one position to another position.,5.467
prim:scene_01__A003++seq__5f9751f660a51045d22c__2023-04-21-19-08-07:12,atomic-substep,primitive_task,Place the apple inside the plate.,将苹果放入碟子。,107.025,109.6,scene_01__A003++seq__5f9751f660a51045d22c__2023-04-21-19-08-07,place,apple,leave,OakInk2,OakInk2,full,place the apple inside the plate.,2.575
prim:scene_01__A003++seq__5f9751f660a51045d22c__2023-04-21-19-08-07:4,atomic-substep,primitive_task,Place the pear inside the plate.,将梨放入碟子。,36.05,40.058,scene_01__A003++seq__5f9751f660a51045d22c__2023-04-21-19-08-07,place,pear,leave,OakInk2,OakInk2,full,place the pear inside the plate.,4.008
prim:scene_01__A003++seq__5f9751f660a51045d22c__2023-04-21-19-08-07:5,atomic-substep,primitive_task,Take the pear outside the plate.,将梨拿出碟子。,45.067,49.167,scene_01__A003++seq__5f9751f660a51045d22c__2023-04-21-19-08-07,take,pear,retrieve,OakInk2,OakInk2,full,take the pear outside the plate.,4.1
prim:scene_01__A003++seq__74204866e2c7e3308258__2023-04-16-11-26-40:2,atomic-substep,primitive_task,Grip the content with the tongs from the plate to the bowl.,用夹子将内容从碟子夹到碗。,18.867,48.725,scene_01__A003++seq__74204866e2c7e3308258__2023-04-16-11-26-40,grip,content,retrieve,OakInk2,OakInk2,full,grip the content with the tongs from the plate to the bowl.,29.858
prim:scene_01__A003++seq__783bd4550274783193c3__2023-04-15-09-58-39:0,atomic-substep,primitive_task,Rearrange the spoon from one position to another position.,将调羹从一个位置移动到另一个位置。,7.933,17.308,scene_01__A003++seq__783bd4550274783193c3__2023-04-15-09-58-39,rearrange,spoon,manipulate,OakInk2,OakInk2,full,rearrange the spoon from one position to another position.,9.375
prim:scene_01__A003++seq__7c8015df8645965d920d__2023-04-21-21-05-08:0,atomic-substep,primitive_task,Place the fork inside tool rack.,将叉子放入工具架。,11.292,16.658,scene_01__A003++seq__7c8015df8645965d920d__2023-04-21-21-05-08,place,fork,leave,OakInk2,OakInk2,full,place the fork inside tool rack.,5.366
prim:scene_01__A003++seq__7c8015df8645965d920d__2023-04-21-21-05-08:15,atomic-substep,primitive_task,Hold the spoon to the position.,用手抓握调羹并保持位置。,178.375,182.55,scene_01__A003++seq__7c8015df8645965d920d__2023-04-21-21-05-08,hold,spoon,retrieve,OakInk2,OakInk2,full,hold the spoon to the position.,4.175
prim:scene_01__A003++seq__7c8015df8645965d920d__2023-04-21-21-05-08:19,atomic-substep,primitive_task,Wipe the fryingpan with the sponge.,用海绵擦平底锅。,189.25,219.683,scene_01__A003++seq__7c8015df8645965d920d__2023-04-21-21-05-08,wipe,fryingpan,clean,OakInk2,OakInk2,full,wipe the fryingpan with the sponge.,30.433
prim:scene_01__A003++seq__7c8015df8645965d920d__2023-04-21-21-05-08:28,atomic-substep,primitive_task,Screw the cap onto the blue striped bottle.,拧紧蓝色条纹瓶的盖子。,301.133,304.1,scene_01__A003++seq__7c8015df8645965d920d__2023-04-21-21-05-08,screw,cap,merge,OakInk2,OakInk2,full,screw the cap onto the blue striped bottle.,2.967
prim:scene_01__A003++seq__920f6ba03fbe28cd4d64__2023-04-21-20-34-37:1,atomic-substep,primitive_task,Cut the bread with the orange cleaver knife.,用橙色菜刀切面包。,25.8,29.892,scene_01__A003++seq__920f6ba03fbe28cd4d64__2023-04-21-20-34-37,cut,bread,split,OakInk2,OakInk2,full,cut the bread with the orange cleaver knife.,4.092
prim:scene_01__A003++seq__920f6ba03fbe28cd4d64__2023-04-21-20-34-37:2,atomic-substep,primitive_task,Place the bread inside the plate.,将面包放入碟子。,29.925,37.275,scene_01__A003++seq__920f6ba03fbe28cd4d64__2023-04-21-20-34-37,place,bread,leave,OakInk2,OakInk2,full,place the bread inside the plate.,7.35
prim:scene_01__A003++seq__925aa236cf6d91566f4e__2023-04-23-19-39-35:0,atomic-substep,primitive_task,Hold the gray-green porcelain bottle to the position.,用手抓握灰绿色瓷瓶并保持位置。,12.592,18.333,scene_01__A003++seq__925aa236cf6d91566f4e__2023-04-23-19-39-35,hold,bottle,retrieve,OakInk2,OakInk2,full,hold the gray-green porcelain bottle to the position.,5.741
prim:scene_01__A003++seq__925aa236cf6d91566f4e__2023-04-23-19-39-35:12,atomic-substep,primitive_task,Scrape the salt with the spoon from the little green cup to the blue mug.,用调羹将盐从绿色小茶杯刮到蓝色马克杯。,115.833,129.067,scene_01__A003++seq__925aa236cf6d91566f4e__2023-04-23-19-39-35,scrape,salt,manipulate,OakInk2,OakInk2,full,scrape the salt with the spoon from the little green cup to the blue mug.,13.234
prim:scene_01__A003++seq__925aa236cf6d91566f4e__2023-04-23-19-39-35:4,atomic-substep,primitive_task,Cap the gray-green porcelain bottle.,盖上灰绿色瓷瓶的盖子。,43.475,51.725,scene_01__A003++seq__925aa236cf6d91566f4e__2023-04-23-19-39-35,cap,bottle,access,OakInk2,OakInk2,full,cap the gray-green porcelain bottle.,8.25
prim:scene_01__A003++seq__9b00499d20173000984b__2023-04-18-09-29-31:0,atomic-substep,primitive_task,Place the plate onto the platform of the scale.,将碟子放置于秤的平台上。,8.592,14.258,scene_01__A003++seq__9b00499d20173000984b__2023-04-18-09-29-31,place,plate,leave,OakInk2,OakInk2,full,place the plate onto the platform of the scale.,5.666
prim:scene_01__A003++seq__9f436c64de60cdc5d3b6__2023-04-21-19-23-21:7,atomic-substep,primitive_task,Take the plate outside the microwave oven.,将碟子拿出微波炉。,89.625,97.633,scene_01__A003++seq__9f436c64de60cdc5d3b6__2023-04-21-19-23-21,take,plate,retrieve,OakInk2,OakInk2,full,take the plate outside the microwave oven.,8.008
prim:scene_01__A003++seq__9fbf67eb51ecca5dda1a__2023-04-15-09-55-11:0,atomic-substep,primitive_task,Stir in the yellow mug with the spoon.,用调羹在黄色马克杯中搅拌。,10.175,34.425,scene_01__A003++seq__9fbf67eb51ecca5dda1a__2023-04-15-09-55-11,stir,spoon,merge,OakInk2,OakInk2,full,stir in the yellow mug with the spoon.,24.25
prim:scene_01__A003++seq__a068789362978fe97452__2023-04-16-11-18-43:0,atomic-substep,primitive_task,Grip the sugar cubes with the tongs from the fryingpan to the bowl.,用夹子将糖块从平底锅夹到碗。,9.508,53.942,scene_01__A003++seq__a068789362978fe97452__2023-04-16-11-18-43,grip,cubes,retrieve,OakInk2,OakInk2,full,grip the sugar cubes with the tongs from the fryingpan to the bowl.,44.434
prim:scene_01__A003++seq__a7a1a0cf7d90a9083013__2023-04-21-20-13-04:12,atomic-substep,primitive_task,Close the gate of the microwave oven.,关闭微波炉门。,130.758,137.133,scene_01__A003++seq__a7a1a0cf7d90a9083013__2023-04-21-20-13-04,close,gate,access,OakInk2,OakInk2,full,close the gate of the microwave oven.,6.375
prim:scene_01__A003++seq__b14940e02d707632ae06__2023-04-16-11-29-49:1,atomic-substep,primitive_task,Rearrange the pear from one position to another position.,将梨从一个位置移动到另一个位置。,37.417,43.992,scene_01__A003++seq__b14940e02d707632ae06__2023-04-16-11-29-49,rearrange,pear,manipulate,OakInk2,OakInk2,full,rearrange the pear from one position to another position.,6.575
prim:scene_01__A003++seq__c1b07c891f60797049c3__2023-04-23-20-01-46:0,atomic-substep,primitive_task,Hold the gray-green porcelain bottle to the position.,用手抓握灰绿色瓷瓶并保持位置。,13.692,18.292,scene_01__A003++seq__c1b07c891f60797049c3__2023-04-23-20-01-46,hold,bottle,retrieve,OakInk2,OakInk2,full,hold the gray-green porcelain bottle to the position.,4.6
prim:scene_01__A003++seq__c1b07c891f60797049c3__2023-04-23-20-01-46:3,atomic-substep,primitive_task,Cap the gray-green porcelain bottle.,盖上灰绿色瓷瓶的盖子。,41.808,46.908,scene_01__A003++seq__c1b07c891f60797049c3__2023-04-23-20-01-46,cap,bottle,access,OakInk2,OakInk2,full,cap the gray-green porcelain bottle.,5.1
prim:scene_01__A003++seq__c3c3d8199ae38a3716ed__2023-04-21-19-37-57:0,atomic-substep,primitive_task,Place the donut inside the plate.,将甜甜圈放入碟子。,11.05,14.383,scene_01__A003++seq__c3c3d8199ae38a3716ed__2023-04-21-19-37-57,place,donut,leave,OakInk2,OakInk2,full,place the donut inside the plate.,3.333
prim:scene_01__A003++seq__c3c3d8199ae38a3716ed__2023-04-21-19-37-57:4,atomic-substep,primitive_task,Press the button on the microwave oven.,按下微波炉上的按钮。,43.2,43.767,scene_01__A003++seq__c3c3d8199ae38a3716ed__2023-04-21-19-37-57,press,button,access,OakInk2,OakInk2,full,press the button on the microwave oven.,0.567
prim:scene_01__A003++seq__c43758330dcc6637f14c__2023-04-16-10-49-51:1,atomic-substep,primitive_task,Rearrange the plate from one position to another position.,将碟子从一个位置移动到另一个位置。,30.517,36.817,scene_01__A003++seq__c43758330dcc6637f14c__2023-04-16-10-49-51,rearrange,plate,manipulate,OakInk2,OakInk2,full,rearrange the plate from one position to another position.,6.3
prim:scene_01__A003++seq__cb8f2081449618592d27__2023-04-18-09-58-25:0,atomic-substep,primitive_task,Unscrew the cap of the yellow striped bottle.,拧开黄色条纹瓶的盖子。,10.217,19.733,scene_01__A003++seq__cb8f2081449618592d27__2023-04-18-09-58-25,unscrew,cap,manipulate,OakInk2,OakInk2,full,unscrew the cap of the yellow striped bottle.,9.516
prim:scene_01__A003++seq__cb8f2081449618592d27__2023-04-18-09-58-25:1,atomic-substep,primitive_task,Rearrange the yellow striped bottle from one position to another position.,将黄色条纹瓶从一个位置移动到另一个位置。,19.767,22.333,scene_01__A003++seq__cb8f2081449618592d27__2023-04-18-09-58-25,rearrange,bottle,manipulate,OakInk2,OakInk2,full,rearrange the yellow striped bottle from one position to another position.,2.566
prim:scene_01__A003++seq__cb8f2081449618592d27__2023-04-18-09-58-25:2,atomic-substep,primitive_task,Open the gate of the microwave oven.,打开微波炉门。,25.775,36.492,scene_01__A003++seq__cb8f2081449618592d27__2023-04-18-09-58-25,open,gate,access,OakInk2,OakInk2,full,open the gate of the microwave oven.,10.717
prim:scene_01__A003++seq__ce2f09a1ccbe225a69aa__2023-04-23-19-08-48:1,atomic-substep,primitive_task,Scoop the salt with the spoon from the little green cup to the blue mug.,用调羹将盐从绿色小茶杯舀到蓝色马克杯。,35.55,56.833,scene_01__A003++seq__ce2f09a1ccbe225a69aa__2023-04-23-19-08-48,scoop,salt,retrieve,OakInk2,OakInk2,full,scoop the salt with the spoon from the little green cup to the blue mug.,21.283
prim:scene_01__A003++seq__ce2f09a1ccbe225a69aa__2023-04-23-19-08-48:8,atomic-substep,primitive_task,Hold the large black and yellow striped bottle to the position.,用手抓握大的黑黄条纹瓶并保持位置。,96.625,100.608,scene_01__A003++seq__ce2f09a1ccbe225a69aa__2023-04-23-19-08-48,hold,black,retrieve,OakInk2,OakInk2,full,hold the large black and yellow striped bottle to the position.,3.983
prim:scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34:0,atomic-substep,primitive_task,Take the donut outside the plate.,将甜甜圈拿出碟子。,4.525,10.442,scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34,take,donut,retrieve,OakInk2,OakInk2,full,take the donut outside the plate.,5.917
prim:scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34:15,atomic-substep,primitive_task,Close the gate of the microwave oven.,关闭微波炉门。,155.942,160.417,scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34,close,gate,access,OakInk2,OakInk2,full,close the gate of the microwave oven.,4.475
prim:scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34:23,atomic-substep,primitive_task,Close the gate of the microwave oven.,关闭微波炉门。,202.075,207.083,scene_01__A003++seq__d05b4bb16d00b45e48d9__2023-04-21-20-49-34,close,gate,access,OakInk2,OakInk2,full,close the gate of the microwave oven.,5.008
